language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
en,397765_EA,Tamimi Markets Home Kadai With Glass Lid-28Cm,Home & Gardening///Home///Kitchen Items,Tamimi Markets Home,,Kadai With Glass Lid,77.95,77.95,28Cm,28Cm,10,15.0,https://storage.googleapis.com/tm-zopsmart-uploads/640/20240219/397765_1-20240219-120145.png
en,397764_EA,Tamimi Markets Home Kadai With Glass Lid-24Cm,Home & Gardening///Home///Kitchen Items,Tamimi Markets Home,,Kadai With Glass Lid,64.95,64.95,24Cm,24Cm,10,15.0,https://storage.googleapis.com/tm-zopsmart-uploads/640/20240219/397764_1-20240219-120134.png
en,397763_EA,Tamimi Markets Home Frypan With Glass Lid-28Cm,Home & Gardening///Home///Kitchen Items,Tamimi Markets Home,,Frypan With Glass Lid,74.95,74.95,28Cm,28Cm,10,15.0,https://storage.googleapis.com/tm-zopsmart-uploads/640/20240219/397763_1-20240219-120018.png
en,397760_EA,Tamimi Markets Home Frypan With Glass Lid-24Cm,Home & Gardening///Home///Kitchen Items,Tamimi Markets Home,,Frypan With Glass Lid,49.95,49.95,24Cm,24Cm,10,15.0,https://storage.googleapis.com/tm-zopsmart-uploads/640/20240219/397760_1-20240219-120116.png
en,397759_EA,Tamimi Markets Home Frypan With Glass Lid-20Cm,Home & Gardening///Home///Kitchen Items,Tamimi Markets Home,,Frypan With Glass Lid,44.95,44.95,20Cm,20Cm,10,15.0,https://storage.googleapis.com/tm-zopsmart-uploads/640/20240219/397759_1-20240219-120016.png
en,397758_EA,Tamimi Markets Home Frypan With Glass Lid-18Cm,Home & Gardening///Home///Kitchen Items,Tamimi Markets Home,,Frypan With Glass Lid,43.95,43.95,18Cm,18Cm,10,15.0,https://storage.googleapis.com/tm-zopsmart-uploads/640/20240219/397758_1-20240219-120013.png
en,394602_EA,Trek Salted Caramel Flapjack-50G,Fresh & Local,Trek,,Salted Caramel Flapjack,12.95,12.95,50G,50G,10,15.0,https://storage.googleapis.com/tm-zopsmart-uploads/640/20240219/394602_1-20240219-120132.png
en,400785_EA,Oreo Biscuit + Dream Whip Free-180.80G,Supermarket///Retail///Breakfast & Snacks,Oreo,,Biscuit + Dream Whip Free,25.95,25.95,180.80G,180.80G,10,15.0,https://storage.googleapis.com/tm-zopsmart-uploads/640/20240213/400785_1-20240213-120048.png
en,397751_EA,Tamimi Markets Home Nonstick Fry Pan 22Cm-1 Pc,Home & Gardening///Home///Kitchen Items,Tamimi Markets Home,,Nonstick Fry Pan 22Cm,32.95,32.95,1 Pc,1 Pc,10,15.0,https://storage.googleapis.com/tm-zopsmart-uploads/640/20240213/397751_1-20240213-120041.png
en,100142_EA,Vlasic Stackers Bread And Butter-473Ml,Supermarket///Retail///Packaged Products,Vlasic,,,34.95,34.95,473Ml,473Ml,10,15.0,https://storage.googleapis.com/tm-zopsmart-uploads/1/images/640/20240416/1001421-20240416-121254.webp
