language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
en,DAN-49142,Opp Clear Packing Tape 100m PT48100C,Supermarket///Retail///Packaged Products,Opp,Opp Clear Packing Tape 100m PT48100C,Opp Clear Packing Tape 100m PT48100C,9.0,9.0 SAR,piece,0.32,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/359/product/42266895.jpg
ar,DAN-49142,اوب شريط لاصق تغليف شفاف ١٠٠ متر PT48100C,Supermarket///Retail///Packaged Products,اوب,اوب شريط لاصق تغليف شفاف ١٠٠ متر PT48100C,Opp Clear Packing Tape 100m PT48100C,9.0,9.0 SAR,piece,0.32,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/359/product/42266895.jpg
en,DAN-49156,Opp Brown Packing Tape Brown 50m SC-136-D,Supermarket///Retail///Packaged Products,Opp,Opp Brown Packing Tape Brown 50m SC-136-D,Opp Brown Packing Tape Brown 50m SC-136-D,6.0,6.0 SAR,piece,0.32,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/372/product/42266925.jpg
ar,DAN-49156,اوب شريط لاصق تغليف بني ٥٠ متر SC-136-D,Supermarket///Retail///Packaged Products,اوب,اوب شريط لاصق تغليف بني ٥٠ متر SC-136-D,Opp Brown Packing Tape Brown 50m SC-136-D,6.0,6.0 SAR,piece,0.32,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/372/product/42266925.jpg
en,DAN-49413,Packing Tape Clear 48mm*50M SI-06-1,Supermarket///Retail///Packaged Products,,Packing Tape Clear 48mm*50M SI-06-1,Packing Tape Clear 48mm*50M SI-06-1,6.0,6.0 SAR,piece,0.45,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/848/product/44002565.jpg
ar,DAN-49413,شريط لاصق شفاف ٤٨ مم *٥٠ متر SI-06-1,Supermarket///Retail///Packaged Products,,شريط لاصق شفاف ٤٨ مم *٥٠ متر SI-06-1,Packing Tape Clear 48mm*50M SI-06-1,6.0,6.0 SAR,piece,0.45,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/848/product/44002565.jpg
en,DAN-49414,Packing Tape Clear 48mm*100m SI-06-2,Supermarket///Retail///Packaged Products,,Packing Tape Clear 48mm*100m SI-06-2,Packing Tape Clear 48mm*100m SI-06-2,9.0,9.0 SAR,piece,0.45,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/849/product/44002575.jpg
ar,DAN-49414,شريط لاصق شفاف ٤٨ مم * ١٠٠متر  SI-06-2,Supermarket///Retail///Packaged Products,,شريط لاصق شفاف ٤٨ مم * ١٠٠متر  SI-06-2,Packing Tape Clear 48mm*100m SI-06-2,9.0,9.0 SAR,piece,0.45,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/849/product/44002575.jpg
en,DAN-49416,Stationery Tape 1 PCS Tape Dispenser 01STXK01YN-1,Supermarket///Retail///Packaged Products,,Stationery Tape 1 PCS Tape Dispenser 01STXK01YN-1,Stationery Tape 1 PCS Tape Dispenser 01STXK01YN-1,5.0,5.0 SAR,piece,0.45,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/852/product/44025395.jpg
ar,DAN-49416,قطاعة شريط لاصق مع شريط لاصق قطعة واحدة  01STXK01YN-1,Supermarket///Retail///Packaged Products,,قطاعة شريط لاصق مع شريط لاصق قطعة واحدة  01STXK01YN-1,Stationery Tape 1 PCS Tape Dispenser 01STXK01YN-1,5.0,5.0 SAR,piece,0.45,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/852/product/44025395.jpg
en,DAN-49408,Packing Tape 6 Pieces Brown 100m SC-136-B,Supermarket///Retail///Packaged Products,,Packing Tape 6 Pieces Brown 100m SC-136-B,Packing Tape 6 Pieces Brown 100m SC-136-B,8.0,8.0 SAR,piece,0.45,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/842/product/42266905.jpg
ar,DAN-49408,شريط لاصق بني ٦ قطع ١٠٠ متر,Supermarket///Retail///Packaged Products,,شريط لاصق بني ٦ قطع ١٠٠ متر,Packing Tape 6 Pieces Brown 100m SC-136-B,8.0,8.0 SAR,piece,0.45,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/842/product/42266905.jpg
en,DAN-49160,Clear Packing Tape 50m PT4850C,Supermarket///Retail///Packaged Products,,Clear Packing Tape 50m PT4850C,Clear Packing Tape 50m PT4850C,6.0,6.0 SAR,piece,0.79,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/378/product/42266915.jpg
ar,DAN-49160,شريط لاصق تغليف شفاف ٥٠ متر PT4850C,Supermarket///Retail///Packaged Products,,شريط لاصق تغليف شفاف ٥٠ متر PT4850C,Clear Packing Tape 50m PT4850C,6.0,6.0 SAR,piece,0.79,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/378/product/42266915.jpg
en,DAN-49407,Packing Tape 6 Pieces Clear 100m PT48100C/6,Supermarket///Retail///Packaged Products,,Packing Tape 6 Pieces Clear 100m PT48100C/6,Packing Tape 6 Pieces Clear 100m PT48100C/6,52.0,52.0 SAR,piece,0.45,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/841/product/42266890.jpg
ar,DAN-49407,شريط لاصق شفاف ٦ قطع ١٠٠ متر,Supermarket///Retail///Packaged Products,,شريط لاصق شفاف ٦ قطع ١٠٠ متر,Packing Tape 6 Pieces Clear 100m PT48100C/6,52.0,52.0 SAR,piece,0.45,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/090/841/product/42266890.jpg
