language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
en,2570-38,Vimto Drink Blue Raspberry 250 ML,Supermarket///Retail///Beverages,,,Vimto Drink Blue Raspberry,2.25,2.25,piece,,82,0.34,https://go.farm.com.sa/public/uploads/items/2570/thumbnail_1747159000.webp
en,2560-38,Vimto Drink Strawberry 250 ML,Supermarket///Retail///Beverages,,,Vimto Drink Strawberry,2.25,2.25,piece,,299,0.34,https://go.farm.com.sa/public/uploads/items/2560/thumbnail_1747159000.webp
en,2549-444,Victoria Juice Lemon 280 ML,Supermarket///Retail///Beverages,,,Victoria Juice Lemon,8.95,8.95,piece,,6,1.34,https://go.farm.com.sa/public/uploads/items/2549/thumbnail_1747159000.webp
en,2525-37,Al Rabie Juice Orange 1 L,Supermarket///Retail///Beverages,,,Al Rabie Juice Orange,5.95,5.95,piece,,54,0.89,https://go.farm.com.sa/public/uploads/items/2525/thumbnail_1747159000.webp
en,114-48,Rani Drink Floats Mango Can No Sugar 240 ML,Supermarket///Retail///Beverages,,,Rani Drink Floats Mango Can No Sugar,2.1,2.1,piece,,36,0.32,https://go.farm.com.sa/public/uploads/items/114/thumbnail_1747159000.webp
en,114-1174,Rani Drink Floats Mango Can No Sugar 240 ML × 24,Supermarket///Retail///Beverages,,,Rani Drink Floats Mango Can No Sugar,46.75,46.75,piece,,1000,7.01,https://go.farm.com.sa/public/uploads/items/114/thumbnail_1747159000.webp
en,123-51,Sun Cola Drink Tetrapack Non Carbonated 125 ML,Supermarket///Retail///Beverages,,,Sun Cola Drink Tetrapack Non Carbonated,1.0,1,piece,,516,0.15,https://go.farm.com.sa/public/uploads/items/123/thumbnail_1747159000.webp
en,123-1179,Sun Cola Drink Tetrapack Non Carbonated 125 ML × 24,Supermarket///Retail///Beverages,,,Sun Cola Drink Tetrapack Non Carbonated,34.5,34.5,piece,,21,5.18,https://go.farm.com.sa/public/uploads/items/123/thumbnail_1747159000.webp
en,157-61,Rani Drink Carrot & Orange 1.5 L,Supermarket///Retail///Beverages,,,Rani Drink Carrot & Orange,7.5,7.5,piece,,40,1.13,https://go.farm.com.sa/public/uploads/items/157/thumbnail_1747159000.webp
en,157-67,Rani Drink Carrot & Orange 1.5 L × 6,Supermarket///Retail///Beverages,,,Rani Drink Carrot & Orange,41.0,41,piece,,6,6.15,https://go.farm.com.sa/public/uploads/items/157/thumbnail_1747159000.webp
en,162-61,Rani Drink Cocktail 1.5 L,Supermarket///Retail///Beverages,,,Rani Drink Cocktail,7.5,7.5,piece,,8,1.13,https://go.farm.com.sa/public/uploads/items/162/thumbnail_1747159000.webp
en,170-51,Suntop Drink Orange 125 ML,Supermarket///Retail///Beverages,,,Suntop Drink Orange,1.0,1,piece,,2148,0.15,https://go.farm.com.sa/public/uploads/items/170/thumbnail_1747159000.webp
en,170-1179,Suntop Drink Orange 125 ML × 24,Supermarket///Retail///Beverages,,,Suntop Drink Orange,20.5,20.5,piece,,89,3.08,https://go.farm.com.sa/public/uploads/items/170/thumbnail_1747159000.webp
en,170-445,Suntop Drink Orange 125 ML × 18,Supermarket///Retail///Beverages,,,Suntop Drink Orange,16.95,16.95,piece,,119,2.54,https://go.farm.com.sa/public/uploads/items/170/thumbnail_1747159000.webp
en,198-61,Rani Juice Guava 1.5 L,Supermarket///Retail///Beverages,,,Rani Juice Guava,7.5,7.5,piece,,32,1.13,https://go.farm.com.sa/public/uploads/items/198/thumbnail_1747159000.webp
en,198-67,Rani Juice Guava 1.5 L × 6,Supermarket///Retail///Beverages,,,Rani Juice Guava,41.0,41,piece,,5,6.15,https://go.farm.com.sa/public/uploads/items/198/thumbnail_1747159000.webp
en,201-37,Danya Juice Red Grape 1 L,Supermarket///Retail///Beverages,,,Danya Juice Red Grape,12.95,12.95,piece,,1231,1.94,https://go.farm.com.sa/public/uploads/items/201/thumbnail_1747159000.webp
en,201-1171,Danya Juice Red Grape 1 L × 12,Supermarket///Retail///Beverages,,,Danya Juice Red Grape,120.0,120,piece,,102,18.0,https://go.farm.com.sa/public/uploads/items/201/thumbnail_1747159000.webp
en,18306-2934,Thai Coco Pure Coconut Water 520 ML,Supermarket///Retail///Beverages,,,Thai Coco Pure Coconut Water,7.95,7.95,piece,,28,1.19,https://go.farm.com.sa/public/uploads/items/18306/thumbnail_1747159442.webp
en,18077-30,Capri Sun Juice Strawberry 200 ML,Supermarket///Retail///Beverages,,,Capri Sun Juice Strawberry,1.95,1.95,piece,,335,0.29,https://go.farm.com.sa/public/uploads/items/18077/thumbnail_1747159442.webp
en,17613-58,Vimto Drink Blueberry 250 ML × 6,Supermarket///Retail///Beverages,,,Vimto Drink Blueberry,12.95,12.95,piece,,8,1.94,https://go.farm.com.sa/public/uploads/items/17613/thumbnail_1747159105.webp
en,17606-212,Le Clebracion White Grape 750 ML,Supermarket///Retail///Beverages,,,Le Clebracion White Grape,39.95,39.95,piece,,19,5.99,https://go.farm.com.sa/public/uploads/items/17606/thumbnail_1747159105.webp
