CategoryCode;CategoryPath;Language
"264";"Marketplace fees";"en"
"";"Marketplace fees";"ar"
"411";"Electronics & Digital Products";"en"
"";"الإلكترونيات والمنتجات الرقمية";"ar"
"412";"Fashion & Jewelry";"en"
"";"الأزياء والمجوهرات";"ar"
"413";"Sports & Hobbies";"en"
"";"الأزياء الرياضية";"ar"
"414";"Heath & Beauty";"en"
"";"الصحة والجمال";"ar"
"415";"Home & Gardening";"en"
"";"المنزل والحدائق";"ar"
"416";"Fresh & Local";"en"
"";"منتجات طازجة ومحلية";"ar"
"417";"Supermarket";"en"
"";"سوبر ماركت";"ar"
"418";"Automotive";"en"
"";"السيارات";"ar"
"419";"Electronics & Digital Products///Digital Products";"en"
"";"الإلكترونيات والمنتجات الرقمية///المنتجات الرقمية";"ar"
"420";"Electronics & Digital Products///Electronics";"en"
"";"الإلكترونيات والمنتجات الرقمية///الإلكترونيات";"ar"
"421";"Electronics & Digital Products///Gaming";"en"
"";"الإلكترونيات والمنتجات الرقمية///ألعاب إلكترونية";"ar"
"439";"Fashion & Jewelry///Man";"en"
"";"الأزياء والمجوهرات///الرجل";"ar"
"440";"Fashion & Jewelry///Woman";"en"
"";"الأزياء والمجوهرات///المرأة";"ar"
"441";"Fashion & Jewelry///Kids";"en"
"";"الأزياء والمجوهرات///الأطفال";"ar"
"442";"Fashion & Jewelry///Jewllery";"en"
"";"الأزياء والمجوهرات///المجوهرات";"ar"
"458";"Sports & Hobbies///Sports";"en"
"";"الأزياء الرياضية///الرياضة";"ar"
"459";"Sports & Hobbies///Toys";"en"
"";"الأزياء الرياضية///الألعاب";"ar"
"474";"Heath & Beauty///Health";"en"
"";"الصحة والجمال///الصحة";"ar"
"475";"Heath & Beauty///Beauty";"en"
"";"الصحة والجمال///الجمال";"ar"
"484";"Home & Gardening///Home";"en"
"";"المنزل والحدائق///المنزل";"ar"
"485";"Home & Gardening///Gardenin";"en"
"";"المنزل والحدائق///الحدائق";"ar"
"504";"Fresh & Local///Homemade Meals";"en"
"";"منتجات طازجة ومحلية///وجبات منزلية";"ar"
"505";"Fresh & Local///Fruits from farms";"en"
"";"منتجات طازجة ومحلية///فواكه من المزارع";"ar"
"506";"Fresh & Local///Nuts & Spices";"en"
"";"منتجات طازجة ومحلية///المكسرات والتوابل";"ar"
"514";"Supermarket///Wholesale & Bulk";"en"
"";"سوبر ماركت///بيع بالجملة";"ar"
"515";"Supermarket///Retail";"en"
"";"سوبر ماركت///المخبوزات";"ar"
"533";"Automotive///Car Parts";"en"
"";"السيارات///قطع غيار السيارات";"ar"
"534";"Automotive///Auto Accessories";"en"
"";"السيارات///اكسسوارات السيارات";"ar"
"422";"Electronics & Digital Products///Digital Products///Ebooks";"en"
"";"الإلكترونيات والمنتجات الرقمية///المنتجات الرقمية///الكتب الإلكترونية";"ar"
"423";"Electronics & Digital Products///Digital Products///Software";"en"
"";"الإلكترونيات والمنتجات الرقمية///المنتجات الرقمية///البرمجيات";"ar"
"424";"Electronics & Digital Products///Digital Products///Membership";"en"
"";"الإلكترونيات والمنتجات الرقمية///المنتجات الرقمية///العضويات";"ar"
"425";"Electronics & Digital Products///Digital Products///Audio books";"en"
"";"الإلكترونيات والمنتجات الرقمية///المنتجات الرقمية///الكتب الصوتية";"ar"
"426";"Electronics & Digital Products///Electronics///Mobile Phones";"en"
"";"الإلكترونيات والمنتجات الرقمية///الإلكترونيات///الهواتف المحمولة";"ar"
"427";"Electronics & Digital Products///Electronics///Computers";"en"
"";"الإلكترونيات والمنتجات الرقمية///الإلكترونيات///أجهزة الكمبيوتر";"ar"
"428";"Electronics & Digital Products///Electronics///Tablets & Accessories";"en"
"";"الإلكترونيات والمنتجات الرقمية///الإلكترونيات///الأجهزة اللوحية والإكسسوارات";"ar"
"429";"Electronics & Digital Products///Electronics///Security & Surveillance";"en"
"";"الإلكترونيات والمنتجات الرقمية///الإلكترونيات///الأمن والمراقبة";"ar"
"430";"Electronics & Digital Products///Electronics///Wearables";"en"
