CategoryCode;CategoryPath;Language;Vendor categories fee - Exclusive;Vendor categories fee - Bronze;Vendor categories fee - Silver;Vendor categories fee - Gold;Vendor categories fee - Platinum
"264";"Marketplace fees";"en";"";"";"";"";""
"411";"Electronics & Digital Products";"en";"6.10";"6.10";"6.10";"6.10";"6.10"
"412";"Fashion & Jewelry";"en";"14.90";"14.90";"14.90";"14.90";"14.90"
"413";"Sports & Hobbies";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"414";"Heath & Beauty";"en";"8.20";"8.20";"8.20";"8.20";"8.20"
"415";"Home & Gardening";"en";"10.00";"10.00";"10.00";"10.00";"10.00"
"416";"Fresh & Local";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"417";"Supermarket";"en";"9.00";"9.00";"9.00";"9.00";"9.00"
"418";"Automotive";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"552";"Office Supplies & Furniture";"en";"";"";"";"";""
"553";"Construction Materials & Hardware";"en";"";"";"";"";""
"554";"Packaging & Shipping Supplies";"en";"";"";"";"";""
"555";"Safety Equipment & PPE";"en";"";"";"";"";""
"556";"Electrical & Lighting";"en";"";"";"";"";""
"419";"Electronics & Digital Products///Digital Products";"en";"6.10";"6.10";"6.10";"6.10";"6.10"
"420";"Electronics & Digital Products///Electronics";"en";"12.50";"12.50";"12.50";"12.50";"12.50"
"421";"Electronics & Digital Products///Gaming";"en";"8.60";"8.60";"8.60";"8.60";"8.60"
"439";"Fashion & Jewelry///Man";"en";"14.80";"14.80";"14.80";"14.80";"14.80"
"440";"Fashion & Jewelry///Woman";"en";"14.80";"14.80";"14.80";"14.80";"14.80"
"441";"Fashion & Jewelry///Kids";"en";"14.80";"14.80";"14.80";"14.80";"14.80"
"442";"Fashion & Jewelry///Jewllery";"en";"14.90";"14.90";"14.90";"14.90";"14.90"
"458";"Sports & Hobbies///Sports";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"459";"Sports & Hobbies///Toys";"en";"12.00";"12.00";"12.00";"12.00";"12.00"
"474";"Heath & Beauty///Health";"en";"8.20";"8.20";"8.20";"8.20";"8.20"
"475";"Heath & Beauty///Beauty";"en";"8.20";"8.20";"8.20";"8.20";"8.20"
"484";"Home & Gardening///Home";"en";"14.40";"14.40";"14.40";"14.40";"14.40"
"485";"Home & Gardening///Gardenin";"en";"10.00";"10.00";"10.00";"10.00";"10.00"
"504";"Fresh & Local///Homemade Meals";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"505";"Fresh & Local///Fruits from farms";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"506";"Fresh & Local///Nuts & Spices";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"514";"Supermarket///Wholesale & Bulk";"en";"9.70";"9.70";"9.70";"9.70";"9.70"
"515";"Supermarket///Retail";"en";"9.00";"9.00";"9.00";"9.00";"9.00"
"533";"Automotive///Car Parts";"en";"12.00";"12.00";"12.00";"12.00";"12.00"
"534";"Automotive///Auto Accessories";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"422";"Electronics & Digital Products///Digital Products///Ebooks";"en";"6.10";"6.10";"6.10";"6.10";"6.10"
"423";"Electronics & Digital Products///Digital Products///Software";"en";"6.10";"6.10";"6.10";"6.10";"6.10"
"424";"Electronics & Digital Products///Digital Products///Membership";"en";"6.10";"6.10";"6.10";"6.10";"6.10"
"425";"Electronics & Digital Products///Digital Products///Audio books";"en";"6.10";"6.10";"6.10";"6.10";"6.10"
"426";"Electronics & Digital Products///Electronics///Mobile Phones";"en";"5.60";"5.60";"5.60";"5.60";"5.60"
"427";"Electronics & Digital Products///Electronics///Computers";"en";"5.00";"5.00";"5.00";"5.00";"5.00"
"428";"Electronics & Digital Products///Electronics///Tablets & Accessories";"en";"5.60";"5.60";"5.60";"5.60";"5.60"
"429";"Electronics & Digital Products///Electronics///Security & Surveillance";"en";"7.60";"7.60";"7.60";"7.60";"7.60"
"430";"Electronics & Digital Products///Electronics///Wearables";"en";"7.30";"7.30";"7.30";"7.30";"7.30"
"431";"Electronics & Digital Products///Electronics///Television";"en";"7.60";"7.60";"7.60";"7.60";"7.60"
"433";"Electronics & Digital Products///Electronics///E-scooter";"en";"12.50";"12.50";"12.50";"12.50";"12.50"
"434";"Electronics & Digital Products///Gaming///X-box";"en";"8.60";"8.60";"8.60";"8.60";"8.60"
"435";"Electronics & Digital Products///Gaming///Playstation";"en";"8.60";"8.60";"8.60";"8.60";"8.60"
"436";"Electronics & Digital Products///Gaming///Nintendo";"en";"8.60";"8.60";"8.60";"8.60";"8.60"
"437";"Electronics & Digital Products///Gaming///PC gaming";"en";"8.60";"8.60";"8.60";"8.60";"8.60"
"438";"Electronics & Digital Products///Gaming///Accessories";"en";"8.60";"8.60";"8.60";"8.60";"8.60"
"443";"Fashion & Jewelry///Man///Clothes";"en";"13.90";"13.90";"13.90";"13.90";"13.90"
"444";"Fashion & Jewelry///Man///Shoes";"en";"13.10";"13.10";"13.10";"13.10";"13.10"
"445";"Fashion & Jewelry///Man///Accessories";"en";"14.80";"14.80";"14.80";"14.80";"14.80"
"446";"Fashion & Jewelry///Woman///Clothes";"en";"13.90";"13.90";"13.90";"13.90";"13.90"
"447";"Fashion & Jewelry///Woman///Hand Bag";"en";"14.30";"14.30";"14.30";"14.30";"14.30"
"448";"Fashion & Jewelry///Woman///Shoes";"en";"13.10";"13.10";"13.10";"13.10";"13.10"
"449";"Fashion & Jewelry///Woman///Wedding";"en";"14.80";"14.80";"14.80";"14.80";"14.80"
"450";"Fashion & Jewelry///Woman///Traditional Costume";"en";"14.80";"14.80";"14.80";"14.80";"14.80"
"451";"Fashion & Jewelry///Woman///Accessories";"en";"14.80";"14.80";"14.80";"14.80";"14.80"
"452";"Fashion & Jewelry///Kids///Clothes";"en";"13.90";"13.90";"13.90";"13.90";"13.90"
"453";"Fashion & Jewelry///Kids///Shoes";"en";"14.80";"14.80";"14.80";"14.80";"14.80"
"454";"Fashion & Jewelry///Jewllery///Diamond";"en";"14.90";"14.90";"14.90";"14.90";"14.90"
"455";"Fashion & Jewelry///Jewllery///Gold";"en";"14.90";"14.90";"14.90";"14.90";"14.90"
"456";"Fashion & Jewelry///Jewllery///Silver";"en";"14.90";"14.90";"14.90";"14.90";"14.90"
"457";"Fashion & Jewelry///Jewllery///Accessories";"en";"14.90";"14.90";"14.90";"14.90";"14.90"
"460";"Sports & Hobbies///Sports///Camping";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"461";"Sports & Hobbies///Sports///Beach & Pool";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"462";"Sports & Hobbies///Sports///Sports";"en";"8.80";"8.80";"8.80";"8.80";"8.80"
"463";"Sports & Hobbies///Sports///Pets";"en";"14.10";"14.10";"14.10";"14.10";"14.10"
"464";"Sports & Hobbies///Sports///Gym Equipment";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"465";"Sports & Hobbies///Sports///Biking & E-Bikes";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"466";"Sports & Hobbies///Sports///Athletic Fashion";"en";"10.90";"10.90";"10.90";"10.90";"10.90"
"467";"Sports & Hobbies///Sports///DIY";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"468";"Sports & Hobbies///Sports///Fishing";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"469";"Sports & Hobbies///Sports///Free Time";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"470";"Sports & Hobbies///Toys///Plushies";"en";"12.00";"12.00";"12.00";"12.00";"12.00"
"471";"Sports & Hobbies///Toys///Learning Sets";"en";"12.00";"12.00";"12.00";"12.00";"12.00"
"472";"Sports & Hobbies///Toys///Remote Control Toys";"en";"12.00";"12.00";"12.00";"12.00";"12.00"
"476";"Heath & Beauty///Health///Food Supplements";"en";"8.20";"8.20";"8.20";"8.20";"8.20"
"477";"Heath & Beauty///Health///Diet meals";"en";"8.20";"8.20";"8.20";"8.20";"8.20"
"478";"Heath & Beauty///Beauty///Fragrance";"en";"9.90";"9.90";"9.90";"9.90";"9.90"
"479";"Heath & Beauty///Beauty///Pharmaceuticals";"en";"8.20";"8.20";"8.20";"8.20";"8.20"
"480";"Heath & Beauty///Beauty///Hair Care";"en";"9.90";"9.90";"9.90";"9.90";"9.90"
"481";"Heath & Beauty///Beauty///Personal Grooming";"en";"9.90";"9.90";"9.90";"9.90";"9.90"
"482";"Heath & Beauty///Beauty///Make up";"en";"10.30";"10.30";"10.30";"10.30";"10.30"
"483";"Heath & Beauty///Beauty///Medical Supplies";"en";"8.20";"8.20";"8.20";"8.20";"8.20"
"487";"Home & Gardening///Home///Tools";"en";"10.30";"10.30";"10.30";"10.30";"10.30"
"488";"Home & Gardening///Home///Furnitures";"en";"8.90";"8.90";"8.90";"8.90";"8.90"
"489";"Home & Gardening///Home///Lighting";"en";"11.80";"11.80";"11.80";"11.80";"11.80"
"490";"Home & Gardening///Home///Cleaning Products";"en";"14.40";"14.40";"14.40";"14.40";"14.40"
"491";"Home & Gardening///Home///Kitchen Items";"en";"10.90";"10.90";"10.90";"10.90";"10.90"
"492";"Home & Gardening///Home///Linen Items";"en";"10.30";"10.30";"10.30";"10.30";"10.30"
"493";"Home & Gardening///Home///Security";"en";"12.00";"12.00";"12.00";"12.00";"12.00"
"494";"Home & Gardening///Home///Bathroom Equipment";"en";"12.40";"12.40";"12.40";"12.40";"12.40"
"495";"Home & Gardening///Home///Office Equipment";"en";"10.00";"10.00";"10.00";"10.00";"10.00"
"496";"Home & Gardening///Home///Automations";"en";"14.40";"14.40";"14.40";"14.40";"14.40"
"497";"Home & Gardening///Gardenin///Plants & Seeds";"en";"10.00";"10.00";"10.00";"10.00";"10.00"
"498";"Home & Gardening///Gardenin///Tools";"en";"10.30";"10.30";"10.30";"10.30";"10.30"
"499";"Home & Gardening///Home///Lawn Care";"en";"10.30";"10.30";"10.30";"10.30";"10.30"
"500";"Home & Gardening///Gardenin///Furnitures";"en";"8.90";"8.90";"8.90";"8.90";"8.90"
"501";"Home & Gardening///Gardenin///Lighting";"en";"11.10";"11.10";"11.10";"11.10";"11.10"
"502";"Home & Gardening///Gardenin///Bathroom Equipment";"en";"12.40";"12.40";"12.40";"12.40";"12.40"
"503";"Home & Gardening///Gardenin///Office Equipment";"en";"10.00";"10.00";"10.00";"10.00";"10.00"
"507";"Fresh & Local///Homemade Meals///Main Dish";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"508";"Fresh & Local///Homemade Meals///Classic Sweets";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"509";"Fresh & Local///Fruits from farms///Dates";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"510";"Fresh & Local///Fruits from farms///Honey";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"511";"Fresh & Local///Fruits from farms///Ghee";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"512";"Fresh & Local///Nuts & Spices///Mixed Nuts";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"513";"Fresh & Local///Nuts & Spices///Spices";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"516";"Supermarket///Wholesale & Bulk///Dairy";"en";"9.70";"9.70";"9.70";"9.70";"9.70"
"517";"Supermarket///Wholesale & Bulk///Beverages";"en";"9.70";"9.70";"9.70";"9.70";"9.70"
"518";"Supermarket///Wholesale & Bulk///Cleaning Products";"en";"10.00";"10.00";"10.00";"10.00";"10.00"
"519";"Supermarket///Retail///Fruits & Vegetables";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"520";"Supermarket///Retail///Cheese & Cold Cuts";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"521";"Supermarket///Retail///Breakfast & Snacks";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"522";"Supermarket///Retail///Packaged Products";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"523";"Supermarket///Retail///Bakery";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
"524";"Supermarket///Retail///Dairy";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
