CategoryCode;CategoryPath;Language;Status;Store
"778";"أجهزة إلكترونية وتقنية";"ar";"A";"B2B"
"779";"Retail & Shop Supplies";"ar";"A";"B2B"
"780";"Clinic & Medical Supplies";"ar";"A";"B2B"
"803";"أجهزة إلكترونية وتقنية///Laptops & Screens";"ar";"A";"B2B"
"804";"أجهزة إلكترونية وتقنية///Keyboards & Mice";"ar";"A";"B2B"
"805";"أجهزة إلكترونية وتقنية///Routers & Cables";"ar";"A";"B2B"
"806";"أجهزة إلكترونية وتقنية///Projectors & Accessories";"ar";"A";"B2B"
"807";"أجهزة إلكترونية وتقنية///CCTV & Security";"ar";"A";"B2B"
"808";"Retail & Shop Supplies///Display Racks";"ar";"A";"B2B"
"809";"Retail & Shop Supplies///Shopping Carts";"ar";"A";"B2B"
"810";"Retail & Shop Supplies/// POS Systems";"ar";"A";"B2B"
"811";"Retail & Shop Supplies///Labeling & Price Tags";"ar";"A";"B2B"
"812";"Clinic & Medical Supplies///Gloves & Masks";"ar";"A";"B2B"
"813";"Clinic & Medical Supplies/// Sanitizers & Cleaners";"ar";"A";"B2B"
"814";"Clinic & Medical Supplies/// Basic Medical Tools";"ar";"A";"B2B"
"815";"Clinic & Medical Supplies///Uniforms & Scrubs";"ar";"A";"B2B"
"816";"Clinic & Medical Supplies/// Beds & Exam Tables";"ar";"A";"B2B"
