Variant;Variant ID;Language;Feature name;Feature group;Position;Image;Description;Page title;Meta keywords;Meta description;URL;Storefront feature name;AB Custom H1;AB SEO Filters: SEO variant
"iOS 5";"39";"en";"Operating System";"Electronics";"40";"";"";"";"";"";"";"Operating System";"";""
"Windows 7 Home Premium";"46";"en";"Operating System";"Electronics";"0";"";"";"";"";"";"";"Operating System";"";""
"Windows 7 Home Basic";"49";"en";"Operating System";"Electronics";"0";"";"";"";"";"";"";"Operating System";"";""
"Android 3.1, Honeycomb";"52";"en";"Operating System";"Electronics";"0";"";"";"";"";"";"";"Operating System";"";""
"Android 2.2, Froyo";"55";"en";"Operating System";"Electronics";"0";"";"";"";"";"";"";"Operating System";"";""
"Android 3.2, Honeycomb";"58";"en";"Operating System";"Electronics";"0";"";"";"";"";"";"";"Operating System";"";""
"Android 2.3, Gingerbread";"66";"en";"Operating System";"Electronics";"0";"";"";"";"";"";"";"Operating System";"";""
"Windows Phone 7.5, Mango";"69";"en";"Operating System";"Electronics";"0";"";"";"";"";"";"";"Operating System";"";""
"Android 4.0, Ice Cream Sandwich";"73";"en";"Operating System";"Electronics";"0";"";"";"";"";"";"";"Operating System";"";""
"Nokia OS";"76";"en";"Operating System";"Electronics";"0";"";"";"";"";"";"";"Operating System";"";""
"Symbian OS";"78";"en";"Operating System";"Electronics";"0";"";"";"";"";"";"";"Operating System";"";""
"Android 2.1";"84";"en";"Operating System";"Electronics";"0";"";"";"";"";"";"";"Operating System";"";""
"27""";"41";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"9.7""";"44";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"23""";"51";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"8.9""";"53";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"7.0""";"56";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"15.6""";"59";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"14.0""";"61";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"13.3""";"63";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"3.5""";"65";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"4.0""";"67";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"4.3""";"68";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"4.7""";"70";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"3.7""";"71";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"4.5""";"74";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"2.4""";"77";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"3.2""";"80";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"3.1""";"83";"en";"Display";"Electronics";"0";"";"";"";"";"";"";"Display";"";""
"16GB";"45";"en";"Storage Capacity";"Electronics";"0";"";"";"";"";"";"";"Storage Capacity";"";""
"1TB";"47";"en";"Storage Capacity";"Electronics";"0";"";"";"";"";"";"";"Storage Capacity";"";""
"500GB";"48";"en";"Storage Capacity";"Electronics";"0";"";"";"";"";"";"";"Storage Capacity";"";""
"320GB";"50";"en";"Storage Capacity";"Electronics";"0";"";"";"";"";"";"";"Storage Capacity";"";""
"32GB";"54";"en";"Storage Capacity";"Electronics";"0";"";"";"";"";"";"";"Storage Capacity";"";""
"640GB";"60";"en";"Storage Capacity";"Electronics";"0";"";"";"";"";"";"";"Storage Capacity";"";""
"750GB";"62";"en";"Storage Capacity";"Electronics";"0";"";"";"";"";"";"";"Storage Capacity";"";""
"256GB";"64";"en";"Storage Capacity";"Electronics";"0";"";"";"";"";"";"";"Storage Capacity";"";""
"8GB";"72";"en";"Storage Capacity";"Electronics";"0";"";"";"";"";"";"";"Storage Capacity";"";""
"4GB";"75";"en";"Storage Capacity";"Electronics";"0";"";"";"";"";"";"";"Storage Capacity";"";""
"256MB";"79";"en";"Storage Capacity";"Electronics";"0";"";"";"";"";"";"";"Storage Capacity";"";""
"2GB";"81";"en";"Storage Capacity";"Electronics";"0";"";"";"";"";"";"";"Storage Capacity";"";""
"512MB";"82";"en";"Storage Capacity";"Electronics";"0";"";"";"";"";"";"";"Storage Capacity";"";""
"Abbey Road Studios";"1344";"en";"Brand";"";"0";"exim/backup/variants_image/79085903.jpg#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Acer";"1345";"en";"Brand";"";"0";"exim/backup/variants_image/250px-Acer_2011.svg.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Adidas";"1346";"en";"Brand";"";"0";"exim/backup/variants_image/Adidas_Logo.svg.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Apple";"1348";"en";"Brand";"";"0";"exim/backup/variants_image/Apple_logo_black.svg.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Arc System Works";"1349";"en";"Brand";"";"0";"exim/backup/variants_image/Arc_system_works.jpg#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Asus";"1350";"en";"Brand";"";"0";"exim/backup/variants_image/200px-ASUS_Logo.svg.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Camelback";"1351";"en";"Brand";"";"0";"exim/backup/variants_image/CamelBak_Logo.jpg#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Capcom";"1352";"en";"Brand";"";"0";"exim/backup/variants_image/220px-Capcom_logo.svg.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Casio";"1353";"en";"Brand";"";"0";"exim/backup/variants_image/Casio_logo.svg.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Cleveland";"1354";"en";"Brand";"";"0";"exim/backup/variants_image/Clevelandgolf_logo.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Cobra";"1355";"en";"Brand";"";"0";"exim/backup/variants_image/cobra-logo.jpg#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Concord Records";"1356";"en";"Brand";"";"0";"exim/backup/variants_image/Concordjazzlogo.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Creative";"1357";"en";"Brand";"";"0";"exim/backup/variants_image/Creative_Technology_logo.svg.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"D-Link";"1358";"en";"Brand";"";"0";"exim/backup/variants_image/250px-D-Link.svg.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Electronic Arts (EA)";"1359";"en";"Brand";"";"0";"exim/backup/variants_image/ea.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Entertainment One Limited";"1360";"en";"Brand";"";"0";"exim/backup/variants_image/Entertainment_One_logo.svg.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Garmin";"1361";"en";"Brand";"";"0";"exim/backup/variants_image/225px-Garmin_logo.svg.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"GoPro";"1362";"en";"Brand";"";"0";"exim/backup/variants_image/nora-cup-gopro-png-logo-2.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Hewlett-Packard";"1363";"en";"Brand";"";"0";"exim/backup/variants_image/150px-HP_logo_2012.svg.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"HTC";"1364";"en";"Brand";"";"0";"exim/backup/variants_image/200px-Htc_new_logo.svg.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Intel";"1365";"en";"Brand";"";"0";"exim/backup/variants_image/Intel-logo.jpg#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Kenwood";"1366";"en";"Brand";"";"0";"exim/backup/variants_image/175px-Company-Logo-of-Kenwood001.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Koss";"1367";"en";"Brand";"";"0";"exim/backup/variants_image/koss_logo.jpg#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"LG";"1368";"en";"Brand";"";"0";"exim/backup/variants_image/LG_Logo.svg.png#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"Microsoft";"1369";"en";"Brand";"";"0";"exim/backup/variants_image/664187.jpg#{[ar]:;[en]:;}";"";"";"";"";"";"Brand";"";""
"stationary";"137";"en";"Type";"";"0";"";"";"";"";"";"";"Type";"";""
"250 GB";"138";"en";"Hard drive";"";"0";"";"";"";"";"";"";"Hard drive";"";""
"500 GB";"139";"en";"Hard drive";"";"0";"";"";"";"";"";"";"Hard drive";"";""
"32 GB";"189";"en";"Hard drive";"";"0";"";"";"";"";"";"";"Hard drive";"";""
"8192 MB, DDR3";"140";"en";"RAM";"Specifications";"0";"";"";"";"";"";"";"RAM";"";""
"512 MB, 700 MHz, GDDR3";"163";"en";"RAM";"Specifications";"0";"";"";"";"";"";"";"RAM";"";""
"2000 MB, DDR3";"179";"en";"RAM";"Specifications";"0";"";"";"";"";"";"";"RAM";"";""
"8192 MB, GDDR5";"185";"en";"RAM";"Specifications";"0";"";"";"";"";"";"";"RAM";"";""
"integrated AMD Radeon GPU";"141";"en";"Graphics processor";"Specifications";"0";"";"";"";"";"";"";"Graphics processor";"";""
"ATI C1/Xenos";"162";"en";"Graphics processor";"Specifications";"0";"";"";"";"";"";"";"Graphics processor";"";""
"AMD Radeon HD 5650";"178";"en";"Graphics processor";"Specifications";"0";"";"";"";"";"";"";"Graphics processor";"";""
"1.23 TFLOPs";"142";"en";"System performance for floating point computation";"Specifications";"0";"";"";"";"";"";"";"System performance for floating point computation";"";""
"1 TFLOP";"164";"en";"System performance for floating point computation";"Specifications";"0";"";"";"";"";"";"";"System performance for floating point computation";"";""
"1.84 TFLOPs";"186";"en";"System performance for floating point computation";"Specifications";"0";"";"";"";"";"";"";"System performance for floating point computation";"";""
"1.75 GHz";"143";"en";"CPU speed";"Specifications";"0";"";"";"";"";"";"";"CPU speed";"";""
"3.20 GHz";"166";"en";"CPU speed";"Specifications";"0";"";"";"";"";"";"";"CPU speed";"";""
"1.24 GHz";"181";"en";"CPU speed";"Specifications";"0";"";"";"";"";"";"";"CPU speed";"";""
"8-core AMD";"144";"en";"CPU";"Specifications";"0";"";"";"";"";"";"";"CPU";"";""
"Power PC (3-core)";"165";"en";"CPU";"Specifications";"0";"";"";"";"";"";"";"CPU";"";""
"IBM PowerPC 750";"180";"en";"CPU";"Specifications";"0";"";"";"";"";"";"";"CPU";"";""
"HDMI";"145";"en";"Ports";"Interfaces";"0";"";"";"";"";"";"";"Ports";"";""
"USB x2";"146";"en";"Ports";"Interfaces";"0";"";"";"";"";"";"";"Ports";"";""
"optical audio output";"147";"en";"Ports";"Interfaces";"0";"";"";"";"";"";"";"Ports";"";""
