Feature name;Feature ID;Language;Type;Storefront feature name;Variants
"Storage Capacity";"17";"ar";"S";"Storage Capacity";"16GB, 1TB, 256GB, 256MB, 2GB, 320GB, 32GB, 4GB, 500GB, 512MB, 640GB, 750GB, 8GB"
"Display";"16";"ar";"S";"Display";"13.3"", 14.0"", 15.6"", 2.4"", 23"", 27"", 3.1"", 3.2"", 3.5"", 3.7"", 4.0"", 4.3"", 4.5"", 4.7"", 7.0"", 8.9"", 9.7""" 
"Operating System";"15";"ar";"S";"Operating System";"Android 2.1, 'Android 2.2, Froyo', 'Android 2.3, Gingerbread', 'Android 3.1, Honeycomb', 'Android 3.2, Honeycomb', 'Android 4.0, Ice Cream Sandwich', Nokia OS, Symbian OS, Windows 7 Home Basic, Windows 7 Home Premium, 'Windows Phone 7.5, Mango', iOS 5"
"Electronics";"14";"ar";"G";"Electronics";""
"Brand";"18";"ar";"E";"Brand";"Abbey Road Studios, Acer, Adidas, Aiko, Apple, Arc System Works, ASUS, Camelback, Capcom, Casio, Cleveland, Cobra, Concord Records, Creative, D-Link, Electronic Arts (EA), Entertainment One Ltd, Garmin, GoPro, Hewlett-Packard, HTC, Intel, Kenwood, Koss, LG, Microsoft, Montblanc, Motorola, Namco, Namco Bandai Games, Nike, Nikon, Nintendo, Nokia, Panasonic, Pioneer, Quartet Manufacturing, Razer, Rhino, Roadrunner Records, Samsung, SanDisk, Sony, Sucker Punch Productions, Swingline , Tissot, TomTom, Toshiba, TP-Link, Universal Music Group, Warner Bros., Warner Home Video , Wilson Jones, Wilson Staff, Yamaha"
"Main features";"20";"ar";"G";"Main features";""
"Type";"21";"ar";"S";"Type";"stationary"
"HD support";"22";"ar";"C";"HD support";""
"Hard drive";"23";"ar";"S";"Hard drive";"250 GB, 32 GB, 500 GB"
"Specifications";"24";"ar";"G";"Specifications";""
"RAM";"25";"ar";"S";"RAM";"'2000 MB, DDR3', '512 MB, 700 MHz, GDDR3', '8192 MB, DDR3', '8192 MB, GDDR5'"
"Graphics processor";"26";"ar";"S";"Graphics processor";"AMD Radeon HD 5650, ATI C1/Xenos, integrated AMD Radeon GPU"
"System performance for floating point computation";"27";"ar";"S";"System performance for floating point computation";"1 TFLOP, 1.23 TFLOPs, 1.84 TFLOPs"
"CPU speed";"28";"ar";"S";"CPU speed";"1.24 GHz, 1.75 GHz, 3.20 GHz"
"CPU";"29";"ar";"S";"CPU";"8-core AMD, IBM PowerPC 750, Power PC (3-core)"
"Interfaces";"30";"ar";"G";"Interfaces";""
"Ports";"31";"ar";"M";"Ports";"AV-output, HDMI, optical audio output, USB x2, USB x4, USB x5"
"Communications";"32";"ar";"M";"Communications";"Bluetooth, Ethernet, Wi-Fi (802.11b/g/n)"
"Multimedia";"33";"ar";"G";"Multimedia";""
"Video playback";"34";"ar";"C";"Video playback";""
"Supported storage devices";"35";"ar";"M";"Supported storage devices";"Blu-ray, CD, CD R, CR RW, DVD, DVD R, DVD RW"
"Supported formats";"36";"ar";"M";"Supported formats";"JPEG, MP3, WMA"
"Dimensions";"37";"ar";"G";"Dimensions";""
"Dimensions (W x H x D)";"38";"ar";"T";"Dimensions (W x H x D)";""
"Weight";"39";"ar";"T";"Weight";""
"Additional info";"40";"ar";"G";"Additional info";""
"Controller included";"41";"ar";"T";"Controller included";""
"Accessories included";"42";"ar";"M";"Accessories included";"composite AV cable, HDMI cable, Headset, USB cable"
"Videogames storage";"43";"ar";"S";"Videogames storage";"BD (Blu-ray Disc), DVD, Wii U Optical Disc"
"Compatibility with console videogames";"44";"ar";"M";"Compatibility with console videogames";"Nintendo WiiNintendo Wii U, PlayStation 4, Xbox, Xbox One, Xbox360"
"Colors";"45";"ar";"S";"Colors";"Black"
"Features";"46";"ar";"T";"Features";""
"3D support";"47";"ar";"C";"3D support";""
"Color";"549";"ar";"S";"Color";"Beige, Brown, Cream, Emerald, Grey, Khaki, Lilac, Maroon, Mustard, Navy, Pink, Red, Taupe, Yellow, Green, أزرق, أسود, أبيض"
"Size";"548";"ar";"S";"Size";"صغيرة, كبير, متوسط, X كبير, XX كبير"
