Name;Value;Language
"2co_enable_fraud_verification";"تفعيل دعم إبلاغ الاحتيال";"ar"
"2co_fraud_fail";"حالات الطلبات التي تحتوي على مراجعة احتيال فاشل";"ar"
"2co_fraud_wait";"حالات الطلبات بانتظار فحص الاحتيال";"ar"
"3d_secure";"تأمين ثلاثي الأبعاد";"ar"
"404";"رسالة الخطأ 404 غير موجود";"ar"
"absolute";"ثابت";"ar"
"abt_menu_icon_items";"AB: Show icons for menu items of the second level";"ar"
"abt_menu_icon_items.tooltip";"The active status of this setting allows the display of an icon that is assigned to a menu item of the second level menu.";"ar"
"abt_menu_long_names";"AB: Show long names of the first level menu items in two lines";"ar"
"abt_menu_long_names.tooltip";"The active status of this setting allows displaying menu names in two lines (with line break), if more space is required to place the name, than the setting <b>AB: The maximum width of the menu item for the first level</b> specifies";"ar"
"abt_menu_long_names_max_width";"AB: The maximum width of the menu item for the first level";"ar"
"abt_menu_long_names_max_width.tooltip";"Specifies the width of the cell in pixels to place the name of the menu item. If the name of the menu item exceeds this value, then with the active setting <b>AB: Show long names of the first level menu items in two lines</b>, then it will be displayed in two lines (with line break).";"ar"
"abt__banner_extra_functional";"Classes that change the parameters of banner elements";"ar"
"abt__banner_title_presets";"Presets for title";"ar"
"abt__menu_add_horizontal_scroll_sections";"AB: Divide menu into sections";"ar"
"abt__menu_add_horizontal_scroll_sections.tooltip";"Setting specifies whether the menu will be divided into sub-sections with switches. When the setting is disabled, menu items, that exceed the limits of the first row, will be displayed on the second row and so on.";"ar"
"abt__menu_compact_view";"AB: Compact display view";"ar"
"abt__unitheme2";"AB: UniTheme2";"ar"
"abt__unitheme2.settings";"Settings only for AB: UniTheme2";"ar"
"abt__unitheme2_mv";"AB: UniTheme2 (Multi-Vendor)";"ar"
"abt__ut2.addon_social_buttons.share";"Share";"ar"
"abt__ut2.add_to_cart";"Buy now";"ar"
"abt__ut2.add_to_wishlist.tooltip";"Add to wishlist";"ar"
"abt__ut2.banner.another_color";"Another color";"ar"
"abt__ut2.banner.background";"Banner background settings";"ar"
"abt__ut2.banner.background_fading";"Fading of background";"ar"
