Product code;Language;Vendor;Images;Price;Quantity;Description
"D00014MK1P";"en";"CS-Cart";"https://is2or.com/images/detailed/0/d85_smartTV.jpg///https://is2or.com/images/detailed/0/LED800065NAL30_1.jpg///https://is2or.com/images/detailed/0/LED800065NAfront_2.jpg///https://is2or.com/images/detailed/0/LED800065NAR30_2.jpg///https://is2or.com/images/detailed/9/LED800065NAL30_1.jpg///https://is2or.com/images/detailed/9/LED800065NAfront_2.jpg///https://is2or.com/images/detailed/9/LED800065NAR30_2.jpg";"5399.99";"10";"<p>     For the ultimate TV enthusiasts, incredible picture quality and advanced connectivity are just the first step; the Samsung UN65D8000 LED TV goes a step beyond, adding elegant design to the formula. On the commanding 65-inch screen you can enjoy Samsung' Smart TV, which puts the web, a wide range of apps, Skype video calling, and plenty more at your fingertips. Or connect a Blu-ray 3D player to get immersed in cinema-quality 3D programming--two pairs of active glasses are included.</p>"
"E0004UBR1Y";"en";"CS-Cart";"https://is2or.com/images/detailed/0/UN40D5003BFXZA.jpg///https://is2or.com/images/detailed/0/LED4003400532NAL30_1.jpg///https://is2or.com/images/detailed/0/LED4003400532NAR30_1.jpg///https://is2or.com/images/detailed/9/LED4003400532NAL30_1.jpg///https://is2or.com/images/detailed/9/LED4003400532NAR30_1.jpg";"699.99";"1";"<p>Clear Motion Rate (CMR) is Samsung's more comprehensive and accurate measure for how well an LCD or LED TV can display fast-moving images. Previously, motion clarity was expressed simply by the refresh rate, measured in Hz. CMR, however, takes into account all three factors that contribute to motion clarity: panel refresh rate, image processor speed and backlight technology.</p>"
"B0005QJH6U";"en";"CS-Cart";"https://is2or.com/images/detailed/0/LCD_610_Sailing_Frt_3.jpg///https://is2or.com/images/detailed/0/LCD610_R70_1.jpg///https://is2or.com/images/detailed/0/LCD610_R45.jpg///https://is2or.com/images/detailed/0/LCD610_R90_1.jpg///https://is2or.com/images/detailed/0/LCD610_Back_1.jpg///https://is2or.com/images/detailed/9/LCD610_R70_1.jpg///https://is2or.com/images/detailed/9/LCD610_R45.jpg///https://is2or.com/images/detailed/9/LCD610_R90_1.jpg///https://is2or.com/images/detailed/9/LCD610_Back_1.jpg";"899.99";"9";"<p>      ConnectShare™ Movie lets you watch videos, play music or view photos from a USB drive. Simply plug your USB directly into your Samsung TV’s USB port and watch on the big screen with friends and family.</p>"
"T0006UROBG";"en";"CS-Cart";"https://is2or.com/images/detailed/0/lcd-tv-32C120-01.jpg///https://is2or.com/images/detailed/0/lcd-tv-32C120-02.jpg///https://is2or.com/images/detailed/0/lcd-tv-32C120-04.jpg///https://is2or.com/images/detailed/0/lcd-tv-32C120-03.jpg///https://is2or.com/images/detailed/9/lcd-tv-32C120-02.jpg///https://is2or.com/images/detailed/9/lcd-tv-32C120-04.jpg///https://is2or.com/images/detailed/9/lcd-tv-32C120-03.jpg";"329.99";"12";"<p>Think you need to break your budget to enjoy blockbuster HD entertainment? Not with Toshiba's 32"" class C110U LCD HDTV. Featuring all-new design, this value-packed television looks great and works well in a living room, kitchen or bedroom. Increase detail and depth of the images on your screen with our impressive Dynalight technology.</p>"
"A0007DQ1TL";"en";"CS-Cart";"https://is2or.com/images/detailed/0/X41185_01.jpg";"55.00";"23";"<p>The adidas Originals Trefoil Hoodie has been a streetwear essential for  decades, with its characteristic big hood, kangaroo pocket and large  Trefoil. Now it's your turn to join the Trefoil men's hoodie crew and  carry the legend forward.</p>"
"W0008TGVI1";"en";"CS-Cart";"https://is2or.com/images/detailed/0/led-tv-32TL515-01.jpg///https://is2or.com/images/detailed/0/led-tv-32TL515-02.jpg///https://is2or.com/images/detailed/0/led-tv-TL515-04.jpg///https://is2or.com/images/detailed/0/led-tv-32TL515-03.jpg///https://is2or.com/images/detailed/9/led-tv-32TL515-02.jpg///https://is2or.com/images/detailed/9/led-tv-TL515-04.jpg///https://is2or.com/images/detailed/9/led-tv-32TL515-03.jpg";"849.99";"9";"<p> Although its attractive features, design, and passive 3D have merit, the picture quality issues of the Toshiba TL515U LED-based LCD TV lessen its appeal in the face of the stiff competition.</p>"
"F0009ORD06";"en";"CS-Cart";"https://is2or.com/images/detailed/0/led-tv-42TL515-01.jpg///https://is2or.com/images/detailed/0/led-tv-42TL515-02.jpg///https://is2or.com/images/detailed/0/led-tv-42TL515-03.jpg///https://is2or.com/images/detailed/0/led-tv-TL515-0413286204504f3123a20c4ea.jpg///https://is2or.com/images/detailed/9/led-tv-42TL515-02.jpg///https://is2or.com/images/detailed/9/led-tv-42TL515-03.jpg///https://is2or.com/images/detailed/9/led-tv-TL515-0413286204504f3123a20c4ea.jpg";"999.99";"17";"<p>Although its attractive features, design, and passive 3D have merit, the picture quality issues of the Toshiba TL515U LED-based LCD TV lessen its appeal in the face of the stiff competition.</p>"
"L00102FQ97";"en";"CS-Cart";"https://is2or.com/images/detailed/0/47tl515.jpg///https://is2or.com/images/detailed/0/led-tv-47TL515-01.jpg///https://is2or.com/images/detailed/0/led-tv-47TL515-02.jpg///https://is2or.com/images/detailed/0/led-tv-47TL515-03.jpg///https://is2or.com/images/detailed/0/led-tv-TL515-0413286206244f312450e72f4.jpg///https://is2or.com/images/detailed/9/led-tv-47TL515-01.jpg///https://is2or.com/images/detailed/9/led-tv-47TL515-02.jpg///https://is2or.com/images/detailed/9/led-tv-47TL515-03.jpg///https://is2or.com/images/detailed/9/led-tv-TL515-0413286206244f312450e72f4.jpg";"1199.99";"8";"<p>Although its attractive features, design, and passive 3D have merit, the picture quality issues of the Toshiba TL515U LED-based LCD TV lessen its appeal in the face of the stiff competition.</p>"
"Z0011CZSNI";"en";"CS-Cart";"https://is2or.com/images/detailed/0/X32444_01.jpg///https://is2or.com/images/detailed/0/X32444_02.jpg///https://is2or.com/images/detailed/9/X32444_02.jpg";"30.00";"51";"<p>It's not how old you are, it's how stylish, and this men's adidas  Originals Collegiate 72 Tee shirt feels just as fresh as it was the day  the Trefoil was born in 1972. That's why this t-shirt features a  collegiate ""72"" on the front.</p>"
"U0012O5AF0";"en";"CS-Cart";"https://is2or.com/images/detailed/0/173283_0113298267324f438bac97eaf.jpg";"30.00";"12";"<p>When coach calls you off the bench, you need warm-up pants that come off  in three seconds or less. That’s why these men's adidas 100g basketball  pants have tear-away snaps down the sides, so you're ready for action  as fast as a superhero.</p>"
