Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;Pay by points;Override points;Override exchange rate;SEO name;Short description;Status;Popularity;Vendor;Image URL
"D00014MK1P";"en";"1";"Electronics & Digital Products";"6499.99";"5399.99";"0.000";"10";"";"0.00";"06 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/d85_smartTV.jpg#{[ar]:;[en]:;}";"65"" Class (64.5"" Diag.) LED 8000 Series Smart TV";"<p>     For the ultimate TV enthusiasts, incredible picture quality and advanced connectivity are just the first step; the Samsung UN65D8000 LED TV goes a step beyond, adding elegant design to the formula. On the commanding 65-inch screen you can enjoy Samsung' Smart TV, which puts the web, a wide range of apps, Skype video calling, and plenty more at your fingertips. Or connect a Blu-ray 3D player to get immersed in cinema-quality 3D programming--two pairs of active glasses are included.</p>";"";"";"";"";"VAT";"Brand: E[Samsung]";"";"";"Y";"N";"N";"65-class-64-5-diag-led-8000-series-smart-tv";"";"A";"36";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/d85_smartTV.jpg"
"E0004UBR1Y";"en";"4";"Electronics & Digital Products";"0.00";"699.99";"0.000";"1";"";"0.00";"29 Jan 2007 13:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/UN40D5003BFXZA.jpg#{[ar]:;[en]:;}";"40"" Class (40.0"" Diag.) LED 5003 Series TV";"<p>Clear Motion Rate (CMR) is Samsung's more comprehensive and accurate measure for how well an LCD or LED TV can display fast-moving images. Previously, motion clarity was expressed simply by the refresh rate, measured in Hz. CMR, however, takes into account all three factors that contribute to motion clarity: panel refresh rate, image processor speed and backlight technology.</p>";"";"";"";"";"VAT";"Brand: E[Samsung]";"";"";"Y";"N";"N";"40-class-40-0-diag-led-5003-series-tv";"";"A";"36";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/UN40D5003BFXZA.jpg"
"B0005QJH6U";"en";"5";"Electronics & Digital Products";"0.00";"899.99";"0.000";"9";"";"0.00";"06 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/LCD_610_Sailing_Frt_3.jpg#{[ar]:;[en]:;}";"46"" Class (45.9"" Diag.) LCD 610 Series TV";"<p>      ConnectShare™ Movie lets you watch videos, play music or view photos from a USB drive. Simply plug your USB directly into your Samsung TV’s USB port and watch on the big screen with friends and family.</p>";"";"";"";"";"VAT";"Brand: E[Samsung]";"";"";"Y";"N";"N";"46-class-45-9-diag-lcd-610-series-tv";"";"A";"42";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/LCD_610_Sailing_Frt_3.jpg"
"Z0011CZSNI";"en";"11";"Electronics & Digital Products";"0.00";"30.00";"0.000";"51";"";"0.00";"06 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/X32444_01.jpg#{[ar]:;[en]:;}";"Collegiate 72 Tee";"<p>It's not how old you are, it's how stylish, and this men's adidas  Originals Collegiate 72 Tee shirt feels just as fresh as it was the day  the Trefoil was born in 1972. That's why this t-shirt features a  collegiate ""72"" on the front.</p>";"";"";"";"";"VAT";"Brand: E[Adidas]";"(CS-Cart) Monotone color: SG[White,Black,Blue,Red,Green,Yellow]///missing_variants_handling=M///multiupload=N///required=N///status=A; (CS-Cart) Apparel Size: SG[Small,Medium,Large,X Large,XX Large]///missing_variants_handling=M///multiupload=N///required=N///status=A";"";"Y";"N";"N";"collegiate-72-tee";"";"A";"18";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/X32444_01.jpg"
"L0078RO9Y9";"en";"78";"Electronics & Digital Products";"0.00";"100.00";"0.000";"11";"";"0.00";"07 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/G48874_01.jpg#{[ar]:;[en]:;}";"adizero Rush Shoes";"<p>Get moving in the lightweight adizero™ Rush shoes by adidas. These  featherweight, dynamic men's running shoes are just 7.5 ounces of  high-mileage style, with adiPRENE®+ support in the forefoot, a light  synthetic upper and a thin rubber outsole for a close</p>";"";"";"";"";"VAT";"Brand: E[Adidas]";"";"";"Y";"N";"N";"adizero-rush-shoes";"";"A";"27";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/G48874_01.jpg"
"Z0079TIUPW";"en";"79";"Electronics & Digital Products";"98.00";"96.00";"0.000";"10";"";"0.00";"07 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/U42918_01.jpg#{[ar]:;[en]:;}";"adiZero Tempaia Shoes";"<p>The adiZero™ Tempaia shoes by adidas are lightweight, breathable tennis  shoes designed for multi-court use. They feature a breathable upper,  adiPRENE®+ in the forefoot for propulsion, adiPRENE® heel cushioning and  EXTENDED TORSION® for support.</p>";"";"";"";"";"VAT";"Brand: E[Adidas]";"";"";"Y";"N";"N";"adizero-tempaia-shoes";"";"A";"12";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/U42918_01.jpg"
"N0158NC3UY";"en";"158";"Electronics & Digital Products";"0.00";"4750.00";"0.000";"4";"";"0.00";"07 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/NWZE464RED.jpg#{[ar]:;[en]:;}";"AIKO SAFE Model Economy (AS 30) Home Safe, with single key";"<table><tbody><tr><td>AIKO safes are designed to provide maximum protection against fire and foil any tampering and break-ins. The anti-burglary Construction: Body & Door: Tough steel plates precisely engineered using industry leading manufacturing techniques. Inserted with Premium formulated Ultra Fine Bubble Concrete provides the most effective insulation against intense heat to ensure valuables are protected from burglary & fire.Automatic Stopper: The automatic stopper feature allows users to close the door with slightest of push.Locking System: Fitted with  Solid Steel bolt locking system to lock horizontally. Fitted with Single Key lock system, with ultra secure cylinder Key.Test & Approvals: Achieved the following international test certificates.      1.  JIS - Japan Standard      2.  KS - Korea Standard      3.  SINTEF - Norway Standard      4.  CNAL - China Standard Built in Alarm: (Optional) To set off anti burglary alarm Terms and Conditions   1. Only loca</td></tr></tbody></table><table style=""margin-top:20px;""><tbody><tr><td><h4>SIZE (APPROX.) & BRIEF SPECIFICATION</h4></td></tr><tr><td><table><tbody><tr><td class=""arial_11pt_white"" style=""font-family:Arial, Helvetica, sans-serif;font-size:11px;color:#ffffff;padding-top:0px;padding-right:0px;padding-bottom:0px;padding-left:6px;text-decoration:none;""><strong>Model</strong></td><td class=""arial_11pt_white"" style=""font-family:Arial, Helvetica, sans-serif;font-size:11px;color:#ffffff;padding-top:0px;padding-right:0px;padding-bottom:0px;padding-left:6px;text-decoration:none;""><strong>AS 30 - Single Key</strong></td></tr><tr><td>Outside</td><td>320 H x 400 W x 330 D MM</td></tr><tr><td>Inside</td><td>220 H x 320 W x 210 D MM</td></tr><tr><td>Weight</td><td>30 KGS</td></tr><tr><td>Accessory</td><td>NIL</td></tr><tr><td>Capacity</td><td>14 LTR</td></tr></tbody></table></td></tr></tbody></table>";"";"";"";"";"VAT";"Brand: E[Aiko]";"";"";"Y";"N";"N";"aiko-safe-model-economy-as-30-home-safe-with-single-key";"";"A";"12";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/NWZE464RED.jpg"
"H0167T7K2E";"en";"167";"Electronics & Digital Products";"599.95";"549.95";"0.000";"7";"";"0.00";"07 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/25472_1.jpg#{[ar]:;[en]:;}";"D3100 + 18-55 VR Lens Kit";"<p>Beautiful pictures–Amazing movies–Incredibly Easy with the 14 Megapixel DX sensor and learn-as-you-grow Guide Mode.</p>";"";"";"";"";"VAT";"Brand: E[Nikon]";"";"";"Y";"N";"N";"d3100-18-55-vr-lens-kit";"";"A";"24";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/25472_1.jpg"
"Y0172YCAWT";"en";"172";"Electronics & Digital Products";"334.00";"299.99";"0.000";"10";"";"0.00";"07 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/V31582_01.jpg#{[ar]:;[en]:;}";"Compact Full HD Camcorder";"<p>            The T10 camcorder was designed to capture memories in comfort and in style. It boasts an ultra compact size, alightweight body and a brushed metal finish creating a subtle but sophisticated look and feel. In fact, its smooth curves fit so comfortably in your hand, it makes shooting video for longer periods of time more enjoyable</p>";"";"";"";"";"VAT";"Brand: E[Samsung]";"";"";"Y";"N";"N";"compact-full-hd-camcorder";"";"A";"33";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/V31582_01.jpg"
"D0187LXFZO";"en";"187";"Electronics & Digital Products";"0.00";"299.99";"0.000";"11";"";"0.00";"07 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/167734bda696f56942c278bee07e7236.jpg#{[ar]:;[en]:;}";"2010 TOUR STAFF Bag 10""";"<p>Used by Cleveland Golf tour staff players worldwide</p>";"";"";"";"";"VAT";"Brand: E[Cleveland]";"";"";"Y";"N";"N";"2010-tour-staff-bag-10";"";"A";"18";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/167734bda696f56942c278bee07e7236.jpg"
