Product code,Language,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Ship downloadable,Inventory tracking,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,Pay by points,Override points,Override exchange rate,SEO name,Short description,Status,Popularity,Vendor,Image URL,Images
D00014MK1P,en,2,Electronics & Technology,6499.99,5399.99,0,10,,0,N,,"65"" Class (64.5"" Diag.) LED 8000 Series Smart TV","<p>     For the ultimate TV enthusiasts, incredible picture quality and advanced connectivity are just the first step; the Samsung UN65D8000 LED TV goes a step beyond, adding elegant design to the formula. On the commanding 65-inch screen you can enjoy Samsung' Smart TV, which puts the web, a wide range of apps, Skype video calling, and plenty more at your fingertips. Or connect a Blu-ray 3D player to get immersed in cinema-quality 3D programming--two pairs of active glasses are included.</p>",,,,,,,,,N,N,N,65-class-64-5-diag-led-8000-series-smart-tv,,A,357,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/d85_smartTV.jpg,https://is2or.store/images/detailed/8/d85_smartTV.jpg
E0004UBR1Y,en,3,Electronics & Technology,0,699.99,0,1,,0,N,,"40"" Class (40.0"" Diag.) LED 5003 Series TV","<p>Clear Motion Rate (CMR) is Samsung's more comprehensive and accurate measure for how well an LCD or LED TV can display fast-moving images. Previously, motion clarity was expressed simply by the refresh rate, measured in Hz. CMR, however, takes into account all three factors that contribute to motion clarity: panel refresh rate, image processor speed and backlight technology.</p>",,,,,,,,,N,N,N,40-class-40-0-diag-led-5003-series-tv,,A,369,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/UN40D5003BFXZA.jpg,https://is2or.store/images/detailed/8/UN40D5003BFXZA.jpg
E0004UBR1Y,en,3,Electronics & Technology,0,699.99,0,1,,0,N,,"40"" Class (40.0"" Diag.) LED 5003 Series TV","<p>Clear Motion Rate (CMR) is Samsung's more comprehensive and accurate measure for how well an LCD or LED TV can display fast-moving images. Previously, motion clarity was expressed simply by the refresh rate, measured in Hz. CMR, however, takes into account all three factors that contribute to motion clarity: panel refresh rate, image processor speed and backlight technology.</p>",,,,,,,,,N,N,N,40-class-40-0-diag-led-5003-series-tv,,A,369,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/UN40D5003BFXZA.jpg,https://is2or.store/images/detailed/8/UN40D5003BFXZA.jpg
B0005QJH6U,en,4,Electronics & Technology,0,899.99,0,9,,0,N,,"46"" Class (45.9"" Diag.) LCD 610 Series TV","<p>      ConnectShare&trade; Movie lets you watch videos, play music or view photos from a USB drive. Simply plug your USB directly into your Samsung TV’s USB port and watch on the big screen with friends and family.</p>",,,,,,Condition: S[Brand new],,,N,N,N,46-class-45-9-diag-lcd-610-series-tv,,A,405,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/LCD_610_Sailing_Frt_3.jpg,https://is2or.store/images/detailed/8/LCD_610_Sailing_Frt_3.jpg
Z0011CZSNI,en,5,Electronics & Technology,0,30,0,51,,0,N,,Collegiate 72 Tee,"<p>It's not how old you are, it's how stylish, and this men's adidas  Originals Collegiate 72 Tee shirt feels just as fresh as it was the day  the Trefoil was born in 1972. That's why this t-shirt features a  collegiate ""72"" on the front.</p>",,,,,,,,,N,N,N,collegiate-72-tee,,A,339,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/LCD_610_Sailing_Frt_3.jpg,https://is2or.store/images/detailed/8/LCD_610_Sailing_Frt_3.jpg///https://is2or.store/images/detailed/8/X32444_01.jpg
L0078RO9Y9,en,6,Electronics & Technology,0,100,0,11,,0,N,,adizero Rush Shoes,"<p>Get moving in the lightweight adizero&trade; Rush shoes by adidas. These  featherweight, dynamic men's running shoes are just 7.5 ounces of  high-mileage style, with adiPRENE®+ support in the forefoot, a light  synthetic upper and a thin rubber outsole for a close</p>",,,,,,,,,N,N,N,adizero-rush-shoes,,A,365,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/LCD_610_Sailing_Frt_3.jpg,https://is2or.store/images/detailed/8/LCD_610_Sailing_Frt_3.jpg///https://is2or.store/images/detailed/8/G48874_01.jpg///https://is2or.store/images/detailed/8/G48874_01_l0dz-1k.jpg
Z0079TIUPW,en,7,Electronics & Technology,98,96,0,10,,0,N,,adiZero Tempaia Shoes,"<p>The adiZero&trade; Tempaia shoes by adidas are lightweight, breathable tennis  shoes designed for multi-court use. They feature a breathable upper,  adiPRENE®+ in the forefoot for propulsion, adiPRENE® heel cushioning and  EXTENDED TORSION® for support.</p>",,,,,,,,,N,N,N,adizero-tempaia-shoes,,A,351,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/U42918_01.jpg,https://is2or.store/images/detailed/8/U42918_01.jpg
N0158NC3UY,en,8,Kids & Baby///Baby Clothes,0,4750,0,4,,0,N,,"AIKO SAFE Model Economy (AS 30) Home Safe, with single key","<table><tbody><tr><td>AIKO safes are designed to provide maximum protection against fire and foil any tampering and break-ins. The anti-burglary Construction: Body & Door: Tough steel plates precisely engineered using industry leading manufacturing techniques. Inserted with Premium formulated Ultra Fine Bubble Concrete provides the most effective insulation against intense heat to ensure valuables are protected from burglary & fire.Automatic Stopper: The automatic stopper feature allows users to close the door with slightest of push.Locking System: Fitted with  Solid Steel bolt locking system to lock horizontally. Fitted with Single Key lock system, with ultra secure cylinder Key.Test & Approvals: Achieved the following international test certificates.      1.  JIS - Japan Standard      2.  KS - Korea Standard      3.  SINTEF - Norway Standard      4.  CNAL - China Standard Built in Alarm: (Optional) To set off anti burglary alarm Terms and Conditions   1. Only loca</td></tr></tbody></table><table style=""margin-top:20px;""><tbody><tr><td><h4>SIZE (APPROX.) & BRIEF SPECIFICATION</h4></td></tr><tr><td><table><tbody><tr><td class=""arial_11pt_white"" style=""font-family:Arial, Helvetica, sans-serif;font-size:11px;color:#ffffff;padding-top:0px;padding-right:0px;padding-bottom:0px;padding-left:6px;text-decoration:none;""><strong>Model</strong></td><td class=""arial_11pt_white"" style=""font-family:Arial, Helvetica, sans-serif;font-size:11px;color:#ffffff;padding-top:0px;padding-right:0px;padding-bottom:0px;padding-left:6px;text-decoration:none;""><strong>AS 30 - Single Key</strong></td></tr><tr><td>Outside</td><td>320 H x 400 W x 330 D MM</td></tr><tr><td>Inside</td><td>220 H x 320 W x 210 D MM</td></tr><tr><td>Weight</td><td>30 KGS</td></tr><tr><td>Accessory</td><td>NIL</td></tr><tr><td>Capacity</td><td>14 LTR</td></tr></tbody></table></td></tr></tbody></table>",,,,,,,,,N,N,N,aiko-safe-model-economy-as-30-home-safe-with-single-key,,A,243,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/NWZE464RED.jpg,https://is2or.store/images/detailed/8/NWZE464RED.jpg
H0167T7K2E,en,9,Electronics & Technology,599.95,549.95,0,7,,0,N,,D3100 + 18-55 VR Lens Kit,<p>Beautiful pictures–Amazing movies–Incredibly Easy with the 14 Megapixel DX sensor and learn-as-you-grow Guide Mode.</p>,,,,,,,,,N,N,N,d3100-18-55-vr-lens-kit,,A,393,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/product_image.png,https://is2or.store/images/detailed/8/product_image.png///https://is2or.store/images/detailed/8/25472_1.jpg
Y0172YCAWT,en,10,Electronics & Technology,334,299.99,0,10,,0,N,,Compact Full HD Camcorder,"<p>            The T10 camcorder was designed to capture memories in comfort and in style. It boasts an ultra compact size, alightweight body and a brushed metal finish creating a subtle but sophisticated look and feel. In fact, its smooth curves fit so comfortably in your hand, it makes shooting video for longer periods of time more enjoyable</p>",,,,,,,,,N,N,N,compact-full-hd-camcorder,,A,402,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/V31582_01.jpg,https://is2or.store/images/detailed/8/V31582_01.jpg
