Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;Pay by points;Override points;Override exchange rate;SEO name;Short description;Status;Popularity;Vendor;Image URL;Images
"D00014MK1P";"en";"1";"Electronics & Digital Products";"6499.99";"5399.99";"0.000";"10";"";"0.00";"06 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/d85_smartTV.jpg#{[ar]:;[en]:;}";"65"" Class (64.5"" Diag.) LED 8000 Series Smart TV";"<p>     For the ultimate TV enthusiasts, incredible picture quality and advanced connectivity are just the first step; the Samsung UN65D8000 LED TV goes a step beyond, adding elegant design to the formula. On the commanding 65-inch screen you can enjoy Samsung' Smart TV, which puts the web, a wide range of apps, Skype video calling, and plenty more at your fingertips. Or connect a Blu-ray 3D player to get immersed in cinema-quality 3D programming--two pairs of active glasses are included.</p>";"";"";"";"";"VAT";"Brand: E[Samsung]";"";"";"Y";"N";"N";"65-class-64-5-diag-led-8000-series-smart-tv";"";"A";"60";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/d85_smartTV.jpg";"https://is2or.com/images/detailed/0/d85_smartTV.jpg///https://is2or.com/images/detailed/0/LED800065NAL30_1.jpg///https://is2or.com/images/detailed/0/LED800065NAfront_2.jpg///https://is2or.com/images/detailed/0/LED800065NAR30_2.jpg///https://is2or.com/images/detailed/9/LED800065NAL30_1.jpg///https://is2or.com/images/detailed/9/LED800065NAfront_2.jpg///https://is2or.com/images/detailed/9/LED800065NAR30_2.jpg"
"";"ar";"";"الإلكترونيات والمنتجات الرقمية";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"65"" Class (64.5"" Diag.) LED 8000 Series Smart TV";"<p>     For the ultimate TV enthusiasts, incredible picture quality and advanced connectivity are just the first step; the Samsung UN65D8000 LED TV goes a step beyond, adding elegant design to the formula. On the commanding 65-inch screen you can enjoy Samsung' Smart TV, which puts the web, a wide range of apps, Skype video calling, and plenty more at your fingertips. Or connect a Blu-ray 3D player to get immersed in cinema-quality 3D programming--two pairs of active glasses are included.</p>";"";"";"";"";"VAT";"Brand: E[Samsung]";"";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/d85_smartTV.jpg";"https://is2or.com/images/detailed/0/d85_smartTV.jpg///https://is2or.com/images/detailed/0/LED800065NAL30_1.jpg///https://is2or.com/images/detailed/0/LED800065NAfront_2.jpg///https://is2or.com/images/detailed/0/LED800065NAR30_2.jpg///https://is2or.com/images/detailed/9/LED800065NAL30_1.jpg///https://is2or.com/images/detailed/9/LED800065NAfront_2.jpg///https://is2or.com/images/detailed/9/LED800065NAR30_2.jpg"
"E0004UBR1Y";"en";"4";"Electronics & Digital Products";"0.00";"699.99";"0.000";"1";"";"0.00";"29 Jan 2007 13:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/UN40D5003BFXZA.jpg#{[ar]:;[en]:;}";"40"" Class (40.0"" Diag.) LED 5003 Series TV";"<p>Clear Motion Rate (CMR) is Samsung's more comprehensive and accurate measure for how well an LCD or LED TV can display fast-moving images. Previously, motion clarity was expressed simply by the refresh rate, measured in Hz. CMR, however, takes into account all three factors that contribute to motion clarity: panel refresh rate, image processor speed and backlight technology.</p>";"";"";"";"";"VAT";"Brand: E[Samsung]";"";"";"Y";"N";"N";"40-class-40-0-diag-led-5003-series-tv";"";"A";"50";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/UN40D5003BFXZA.jpg";"https://is2or.com/images/detailed/0/UN40D5003BFXZA.jpg///https://is2or.com/images/detailed/0/LED4003400532NAL30_1.jpg///https://is2or.com/images/detailed/0/LED4003400532NAR30_1.jpg///https://is2or.com/images/detailed/9/LED4003400532NAL30_1.jpg///https://is2or.com/images/detailed/9/LED4003400532NAR30_1.jpg"
"";"ar";"";"الإلكترونيات والمنتجات الرقمية";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40"" Class (40.0"" Diag.) LED 5003 Series TV";"<p>Clear Motion Rate (CMR) is Samsung's more comprehensive and accurate measure for how well an LCD or LED TV can display fast-moving images. Previously, motion clarity was expressed simply by the refresh rate, measured in Hz. CMR, however, takes into account all three factors that contribute to motion clarity: panel refresh rate, image processor speed and backlight technology.</p>";"";"";"";"";"VAT";"Brand: E[Samsung]";"";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/UN40D5003BFXZA.jpg";"https://is2or.com/images/detailed/0/UN40D5003BFXZA.jpg///https://is2or.com/images/detailed/0/LED4003400532NAL30_1.jpg///https://is2or.com/images/detailed/0/LED4003400532NAR30_1.jpg///https://is2or.com/images/detailed/9/LED4003400532NAL30_1.jpg///https://is2or.com/images/detailed/9/LED4003400532NAR30_1.jpg"
"B0005QJH6U";"en";"5";"Electronics & Digital Products";"0.00";"899.99";"0.000";"9";"";"0.00";"06 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/LCD_610_Sailing_Frt_3.jpg#{[ar]:;[en]:;}";"46"" Class (45.9"" Diag.) LCD 610 Series TV";"<p>      ConnectShare™ Movie lets you watch videos, play music or view photos from a USB drive. Simply plug your USB directly into your Samsung TV’s USB port and watch on the big screen with friends and family.</p>";"";"";"";"";"VAT";"Brand: E[Samsung]";"";"";"Y";"N";"N";"46-class-45-9-diag-lcd-610-series-tv";"";"A";"42";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/LCD_610_Sailing_Frt_3.jpg";"https://is2or.com/images/detailed/0/LCD_610_Sailing_Frt_3.jpg///https://is2or.com/images/detailed/0/LCD610_R70_1.jpg///https://is2or.com/images/detailed/0/LCD610_R45.jpg///https://is2or.com/images/detailed/0/LCD610_R90_1.jpg///https://is2or.com/images/detailed/0/LCD610_Back_1.jpg///https://is2or.com/images/detailed/9/LCD610_R70_1.jpg///https://is2or.com/images/detailed/9/LCD610_R45.jpg///https://is2or.com/images/detailed/9/LCD610_R90_1.jpg///https://is2or.com/images/detailed/9/LCD610_Back_1.jpg"
"";"ar";"";"الإلكترونيات والمنتجات الرقمية";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"46"" Class (45.9"" Diag.) LCD 610 Series TV";"<p>      ConnectShare™ Movie lets you watch videos, play music or view photos from a USB drive. Simply plug your USB directly into your Samsung TV’s USB port and watch on the big screen with friends and family.</p>";"";"";"";"";"VAT";"Brand: E[Samsung]";"";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/LCD_610_Sailing_Frt_3.jpg";"https://is2or.com/images/detailed/0/LCD_610_Sailing_Frt_3.jpg///https://is2or.com/images/detailed/0/LCD610_R70_1.jpg///https://is2or.com/images/detailed/0/LCD610_R45.jpg///https://is2or.com/images/detailed/0/LCD610_R90_1.jpg///https://is2or.com/images/detailed/0/LCD610_Back_1.jpg///https://is2or.com/images/detailed/9/LCD610_R70_1.jpg///https://is2or.com/images/detailed/9/LCD610_R45.jpg///https://is2or.com/images/detailed/9/LCD610_R90_1.jpg///https://is2or.com/images/detailed/9/LCD610_Back_1.jpg"
"T0006UROBG";"en";"6";"Electronics & Digital Products";"0.00";"329.99";"0.000";"12";"";"0.00";"08 Feb 2012 12:33:20";"N";"";"N";"";"N";"";"";"exim/backup/images/lcd-tv-32C120-01.jpg#{[ar]:;[en]:;}";"Toshiba 32C120U 32"" Class 720P HD LCD TV";"<p>Think you need to break your budget to enjoy blockbuster HD entertainment? Not with Toshiba's 32"" class C110U LCD HDTV. Featuring all-new design, this value-packed television looks great and works well in a living room, kitchen or bedroom. Increase detail and depth of the images on your screen with our impressive Dynalight technology.</p>";"";"";"";"";"VAT";"Brand: E[Toshiba]";"";"";"Y";"N";"N";"toshiba-32c120u-32-class-720p-hd-lcd-tv";"";"A";"12";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/lcd-tv-32C120-01.jpg";"https://is2or.com/images/detailed/0/lcd-tv-32C120-01.jpg///https://is2or.com/images/detailed/0/lcd-tv-32C120-02.jpg///https://is2or.com/images/detailed/0/lcd-tv-32C120-04.jpg///https://is2or.com/images/detailed/0/lcd-tv-32C120-03.jpg///https://is2or.com/images/detailed/9/lcd-tv-32C120-02.jpg///https://is2or.com/images/detailed/9/lcd-tv-32C120-04.jpg///https://is2or.com/images/detailed/9/lcd-tv-32C120-03.jpg"
"";"ar";"";"الإلكترونيات والمنتجات الرقمية";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Toshiba 32C120U 32"" Class 720P HD LCD TV";"<p>Think you need to break your budget to enjoy blockbuster HD entertainment? Not with Toshiba's 32"" class C110U LCD HDTV. Featuring all-new design, this value-packed television looks great and works well in a living room, kitchen or bedroom. Increase detail and depth of the images on your screen with our impressive Dynalight technology.</p>";"";"";"";"";"VAT";"Brand: E[Toshiba]";"";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/lcd-tv-32C120-01.jpg";"https://is2or.com/images/detailed/0/lcd-tv-32C120-01.jpg///https://is2or.com/images/detailed/0/lcd-tv-32C120-02.jpg///https://is2or.com/images/detailed/0/lcd-tv-32C120-04.jpg///https://is2or.com/images/detailed/0/lcd-tv-32C120-03.jpg///https://is2or.com/images/detailed/9/lcd-tv-32C120-02.jpg///https://is2or.com/images/detailed/9/lcd-tv-32C120-04.jpg///https://is2or.com/images/detailed/9/lcd-tv-32C120-03.jpg"
"A0007DQ1TL";"en";"7";"Electronics & Digital Products";"0.00";"55.00";"0.000";"23";"";"0.00";"06 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/X41185_01.jpg#{[ar]:;[en]:;}";"Trefoil Hoodie";"<p>The adidas Originals Trefoil Hoodie has been a streetwear essential for  decades, with its characteristic big hood, kangaroo pocket and large  Trefoil. Now it's your turn to join the Trefoil men's hoodie crew and  carry the legend forward.</p>";"";"";"";"";"VAT";"Brand: E[Adidas]";"(CS-Cart) Adidas hoodie color: SG[GreyHeather/Core Energy///image=exim/backup/images/variant_image/X41181_01.jpg,Cardinal/PRIME YELLOW///image=exim/backup/images/variant_image/X41182_01.jpg,Fairway/White///image=exim/backup/images/variant_image/X41187_01.jpg]///missing_variants_handling=M///multiupload=N///required=N///status=A; (CS-Cart) Apparel Size: SG[Small,Medium,Large,X Large,XX Large]///missing_variants_handling=M///multiupload=N///required=N///status=A";"";"Y";"N";"N";"trefoil-hoodie";"";"A";"18";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/X41185_01.jpg";"https://is2or.com/images/detailed/0/X41185_01.jpg"
"";"ar";"";"الإلكترونيات والمنتجات الرقمية";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Trefoil Hoodie";"<p>The adidas Originals Trefoil Hoodie has been a streetwear essential for  decades, with its characteristic big hood, kangaroo pocket and large  Trefoil. Now it's your turn to join the Trefoil men's hoodie crew and  carry the legend forward.</p>";"";"";"";"";"VAT";"Brand: E[Adidas]";"(CS-Cart) Adidas hoodie color: SG[GreyHeather/Core Energy///image=exim/backup/images/variant_image/X41181_01.jpg,Cardinal/PRIME YELLOW///image=exim/backup/images/variant_image/X41182_01.jpg,Fairway/White///image=exim/backup/images/variant_image/X41187_01.jpg]///missing_variants_handling=M///multiupload=N///required=N///status=A; (CS-Cart) Apparel Size: SG[Small,Medium,Large,X Large,XX Large]///missing_variants_handling=M///multiupload=N///required=N///status=A";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/X41185_01.jpg";"https://is2or.com/images/detailed/0/X41185_01.jpg"
