vendor,language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
Zagzoog,EN,FE43X,"Oven Electric 59.7cm, Grill, (4)Functions",Electronics & Digital Products///Electronics,Glem Builtin,"<p><img src=""https://is2or.com/images/products/description_image/07179a98-ceb8-49dc-9eab-0bc07b807afc.jpeg""></p>",,2242,1799,,,5,10,https://zagzoog.com/uploads/project_thumb/258-Zagzoog_image_18.jpg///https://zagzoog.com/uploads/project_thumb/258-Zagzoog_image_19.jpg///https://zagzoog.com/uploads/project_thumb/258-Zagzoog_image_20.jpg///https://zagzoog.com/uploads/project_thumb/258-Zagzoog_image_21.jpg///https://zagzoog.com/uploads/project_thumb/258-Zagzoog_image_22.jpg///https://zagzoog.com/uploads/project_thumb/258-Zagzoog_image_23.jpg///https://zagzoog.com/uploads/project_thumb/258-Zagzoog_image_24.jpg///https://zagzoog.com/uploads/project_thumb/258-Zagzoog_image_25.jpg///https://zagzoog.com/uploads/project_thumb/258-Zagzoog_image_26.jpg
Zagzoog,EN,LT18NBBSIV,"Fridge Top Mount (16.2)Cf, (461)L, Fast&Even Cooling, Inverter",Electronics & Digital Products///Electronics,LG,"<p><img src=""https://is2or.com/images/products/description_image/4f304c74-3431-4234-85dd-af57bad40ff6.jpeg""></p>",,5750,2899,,,5,10,https://zagzoog.com/uploads/project_thumb/1354-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1354-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1354-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1354-Zagzoog_image_4.jpg///https://zagzoog.com/uploads/project_thumb/1354-Zagzoog_image_5.jpg///https://zagzoog.com/uploads/project_thumb/1354-Zagzoog_image_6.jpg///https://zagzoog.com/uploads/project_thumb/1354-Zagzoog_image_7.jpg///https://zagzoog.com/uploads/project_thumb/1354-Zagzoog_image_8.jpg///https://zagzoog.com/uploads/project_thumb/1354-Zagzoog_image_9.jpg///https://zagzoog.com/uploads/project_thumb/1354-Zagzoog_image_10.jpg///https://zagzoog.com/uploads/project_thumb/1354-Zagzoog_image_11.jpg///https://zagzoog.com/uploads/project_thumb/1354-Zagzoog_image_12.jpg///https://zagzoog.com/uploads/project_thumb/1354-Zagzoog_image_13.jpg
Zagzoog,EN,55UT73006LA,"55"" UHD SmartTV,4K,HDR10,WebOS",Electronics & Digital Products///Electronics,LG,"<p><img src=""https://is2or.com/images/products/description_image/742ed792-9687-46fa-8292-5d51b7126ecb.jpeg""></p>",,2530,1898,,,5,10,https://zagzoog.com/uploads/project_thumb/1355-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1355-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1355-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1355-Zagzoog_image_4.jpg///https://zagzoog.com/uploads/project_thumb/1355-Zagzoog_image_5.jpg///https://zagzoog.com/uploads/project_thumb/1355-Zagzoog_image_6.jpg///https://zagzoog.com/uploads/project_thumb/1355-Zagzoog_image_7.jpg///https://zagzoog.com/uploads/project_thumb/1355-Zagzoog_image_8.jpg///https://zagzoog.com/uploads/project_thumb/1355-Zagzoog_image_9.jpg///https://zagzoog.com/uploads/project_thumb/1355-Zagzoog_image_10.jpg
Zagzoog,EN,65UT73006LA,"65"" UHD SmartTV,4K,HDR10,WebOS",Electronics & Digital Products///Electronics,LG,"<p><img src=""https://is2or.com/images/products/description_image/57f85ee7-49dd-4f34-9e5a-bed94614160f.jpeg""></p>",,3185,2398,,,5,10,https://zagzoog.com/uploads/project_thumb/1356-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1356-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1356-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1356-Zagzoog_image_4.jpg///https://zagzoog.com/uploads/project_thumb/1356-Zagzoog_image_5.jpg///https://zagzoog.com/uploads/project_thumb/1356-Zagzoog_image_6.jpg///https://zagzoog.com/uploads/project_thumb/1356-Zagzoog_image_7.jpg///https://zagzoog.com/uploads/project_thumb/1356-Zagzoog_image_8.jpg///https://zagzoog.com/uploads/project_thumb/1356-Zagzoog_image_9.jpg///https://zagzoog.com/uploads/project_thumb/1356-Zagzoog_image_10.jpg
Zagzoog,EN,LTT12JWTMRG,"Twin/Top/Load ,(12)Kg/Wash,(8)Kg/Drying",Electronics & Digital Products///Electronics,Hitachi,"<p><img src=""https://is2or.com/images/products/description_image/d87739ed-e061-4cf3-848b-9168a9f3a3ae.jpeg""></p>",,3220,1598,,,5,10,https://zagzoog.com/uploads/project_thumb/1398-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1398-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1398-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1398-Zagzoog_image_4.jpg///https://zagzoog.com/uploads/project_thumb/1398-Zagzoog_image_5.jpg///https://zagzoog.com/uploads/project_thumb/1398-Zagzoog_image_6.jpg///https://zagzoog.com/uploads/project_thumb/1398-Zagzoog_image_7.jpg///https://zagzoog.com/uploads/project_thumb/1398-Zagzoog_image_8.jpg///https://zagzoog.com/uploads/project_thumb/1398-Zagzoog_image_9.jpg
Zagzoog,EN,WTT1108OW1,"Twin/Top/Load, W/D,(10.5)Kg/W,(8)Kg/D",Electronics & Digital Products///Electronics,LG,"<p><img src=""https://is2or.com/images/products/description_image/722b3bdd-0e68-48e3-a11f-c2edc98f47f6.jpeg""></p>",,1840,1249,,,5,10,https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_4.jpg///https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_5.jpg///https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_6.jpg///https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_7.jpg///https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_8.jpg///https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_9.jpg///https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_10.jpg///https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_11.jpg///https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_12.jpg///https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_13.jpg///https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_16.jpg///https://zagzoog.com/uploads/project_thumb/1414-Zagzoog_image_15.jpg
Zagzoog,EN,XB104210,"Vacuum Cleaner Bagless (1200)W, Capacity (1.3)L",Electronics & Digital Products///Electronics,Philips,"<p><img src=""https://is2or.com/images/products/description_image/533b8eba-80a8-4dac-8548-a09fa9224159.jpeg""></p>",,517,199,,,5,10,https://zagzoog.com/uploads/project_thumb/1418-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1418-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1418-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1418-Zagzoog_image_4.jpg///https://zagzoog.com/uploads/project_thumb/1418-Zagzoog_image_5.jpg///https://zagzoog.com/uploads/project_thumb/1418-Zagzoog_image_6.jpg///https://zagzoog.com/uploads/project_thumb/1418-Zagzoog_image_7.jpg///https://zagzoog.com/uploads/project_thumb/1418-Zagzoog_image_8.jpg///https://zagzoog.com/uploads/project_thumb/1418-Zagzoog_image_9.jpg
Zagzoog,EN,WTT1210TW1,"Twin/Top/Load, W/D,(12)Kg/W,(10)Kg/D",Electronics & Digital Products///Electronics,LG,"<p><img src=""https://is2or.com/images/products/description_image/a4df68c1-f4da-4afb-8192-e24e726b30c8.jpeg""></p>",,1955,1299,,,5,10,https://zagzoog.com/uploads/project_thumb/1382-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1382-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1382-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1382-Zagzoog_image_4.jpg///https://zagzoog.com/uploads/project_thumb/1382-Zagzoog_image_5.jpg///https://zagzoog.com/uploads/project_thumb/1382-Zagzoog_image_6.jpg///https://zagzoog.com/uploads/project_thumb/1382-Zagzoog_image_7.jpg///https://zagzoog.com/uploads/project_thumb/1382-Zagzoog_image_8.jpg///https://zagzoog.com/uploads/project_thumb/1382-Zagzoog_image_9.jpg///https://zagzoog.com/uploads/project_thumb/1382-Zagzoog_image_10.jpg///https://zagzoog.com/uploads/project_thumb/1382-Zagzoog_image_11.jpg///https://zagzoog.com/uploads/project_thumb/1382-Zagzoog_image_12.jpg///https://zagzoog.com/uploads/project_thumb/1382-Zagzoog_image_15.jpg///https://zagzoog.com/uploads/project_thumb/1382-Zagzoog_image_14.jpg
Zagzoog,EN,WTT1410OM1,"Twin/Top/Load, W/D,(14)Kg/W,(10)Kg/D",Electronics & Digital Products///Electronics,LG,"<p><img src=""https://is2or.com/images/products/description_image/19e7d99d-22d7-4d2d-8a00-07a4eea46536.jpeg""></p>",,2070,1449,,,5,10,https://zagzoog.com/uploads/project_thumb/1383-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1383-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1383-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1383-Zagzoog_image_4.jpg///https://zagzoog.com/uploads/project_thumb/1383-Zagzoog_image_5.jpg///https://zagzoog.com/uploads/project_thumb/1383-Zagzoog_image_6.jpg///https://zagzoog.com/uploads/project_thumb/1383-Zagzoog_image_7.jpg///https://zagzoog.com/uploads/project_thumb/1383-Zagzoog_image_8.jpg///https://zagzoog.com/uploads/project_thumb/1383-Zagzoog_image_9.jpg///https://zagzoog.com/uploads/project_thumb/1383-Zagzoog_image_10.jpg///https://zagzoog.com/uploads/project_thumb/1383-Zagzoog_image_11.jpg///https://zagzoog.com/uploads/project_thumb/1383-Zagzoog_image_12.jpg///https://zagzoog.com/uploads/project_thumb/1383-Zagzoog_image_15.jpg///https://zagzoog.com/uploads/project_thumb/1383-Zagzoog_image_14.jpg
Zagzoog,EN,WTV22HHM1,"Top/Load Washer (22)Kg, P.Clean,Inverter,WiFi",Electronics & Digital Products///Electronics,LG,"<p><img src=""https://is2or.com/images/products/description_image/086cfead-ff54-46b0-a95c-c1d08ea292e2.jpeg""></p>",,10120,3898,,,5,10,https://zagzoog.com/uploads/project_thumb/1384-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1384-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1384-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1384-Zagzoog_image_4.jpg///https://zagzoog.com/uploads/project_thumb/1384-Zagzoog_image_5.jpg///https://zagzoog.com/uploads/project_thumb/1384-Zagzoog_image_6.jpg///https://zagzoog.com/uploads/project_thumb/1384-Zagzoog_image_7.jpg///https://zagzoog.com/uploads/project_thumb/1384-Zagzoog_image_8.jpg///https://zagzoog.com/uploads/project_thumb/1384-Zagzoog_image_9.jpg///https://zagzoog.com/uploads/project_thumb/1384-Zagzoog_image_10.jpg///https://zagzoog.com/uploads/project_thumb/1384-Zagzoog_image_11.jpg///https://zagzoog.com/uploads/project_thumb/1384-Zagzoog_image_12.jpg///https://zagzoog.com/uploads/project_thumb/1384-Zagzoog_image_13.jpg
