language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
en,ALRF-0001,Coffee Capsule Classic,Supermarket///Retail///Packaged Products,Al Rifai,"Enjoy the distinct taste of al rifai classic coffee capsule, which features a carefully crafted blend of perfectly roasted arabica and robusta coffee beans for a rich and delicious espresso shot perfect for coffee lovers.",Coffee Capsule Classic,26.0,26.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/da4df34db2580a22ba8a6bfb1eacb2d2.png
en,ALRF-0002,Coffee Capsule Brazil,Supermarket///Retail///Packaged Products,Al Rifai,"Savor the rich, robust taste of al rifai brazilian coffee capsule, which features single-origin ground coffee beans sourced from brazil's lush coffee regions and expertly roasted and ground for a bold, satisfying espresso shot perfect to start your day.",Coffee Capsule Brazil,26.0,26.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/46ce812896a8ce48176decf974e8a585.png
en,ALRF-0003,Coffee Capsule Colombia,Supermarket///Retail///Packaged Products,Al Rifai,"Enjoy the bold and balanced taste of al rifai's colombia coffee capsule, which features premium colombian coffee beans that are expertly roasted and ground for a distinctive espresso shot that is perfect for sipping and tasting.",Coffee Capsule Colombia,26.0,26.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/8824ede4fd17fe46f0c17c6709489bf0.png
en,ALRF-0004,Mini Dried Apple Chips 15g,Supermarket///Retail///Packaged Products,Al Rifai,"Al rifai dried apple chips are a healthy snack perfect for those who love the natural sweetness of apples. this 15g package contains thin slices of apple that have been carefully dried to preserve their crunch and delicious taste. perfect for a quick snack on the go, these chips offer a guilt-free way to satisfy your sweet tooth.",Mini Dried Apple Chips 15g,7.0,7.0,g,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/ae22ce5808b5365cf8e3f88b0a79f69f.jpg
en,ALRF-0005,Freeze Dried Ice Cream Chocolate & Vanilla,Supermarket///Retail///Packaged Products,Al Rifai,Freeze dried ice cream chocolate & vanilla,Freeze Dried Ice Cream Chocolate & Vanilla,28.0,28.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/b390e6847967e277a629482797be3020.jpeg
en,ALRF-0006,Baked Rice Crackers Mix 1 Kg,Supermarket///Retail///Packaged Products,Al Rifai,"Different and delicious variety, presented to you by al rifai to enjoy a healthy and delicious snack",Baked Rice Crackers Mix 1 Kg,72.0,72.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/dbefd0971a5d0dfa2a9e3dbb8125f24d.jpg
en,ALRF-0007,Brazilian Turkish Coffee,Supermarket///Retail///Beverages,Al Rifai,"Indulge in the rich, robust taste of al rifai brazilian turkish coffee, featuring finely ground coffee beans that are traditionally prepared to create the perfect mild-tasting beverage.",Brazilian Turkish Coffee,21.5,21.5,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/963eb509dd9430042d8746b06470bc60.jpg
en,ALRF-0008,Classic Turkish Coffee,Supermarket///Retail///Beverages,Al Rifai,"Enjoy the taste of classic coffee from al-rifai. classic coffee is characterized by its light and medium roasting, which gives it a distinctive taste and amazing aroma, presented to you by al-rifai, fresh and pure.",Classic Turkish Coffee,22.25,22.25,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/9cc5ee9d8c400ea8169a4360ef5f6d07.jpg
en,ALRF-0009,Premium Turkish Coffee,Supermarket///Retail///Beverages,Al Rifai,"Indulge in the rich, robust taste of al rifai premium turkish coffee, featuring finely ground coffee beans that are traditionally prepared to create the perfect mild-tasting beverage.",Premium Turkish Coffee,24.75,24.75,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/838c6a21e553972b213d0062018053d3.jpg
en,ALRF-0010,Espresso Coffee,Supermarket///Retail///Beverages,Al Rifai,"Indulge in the balanced taste of al rifai espresso coffee, which has a light and delicate taste ideal for those who prefer a milder espresso experience.",Espresso Coffee,24.25,24.25,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/01a165f4787c1e2e6c58f21623121e24.jpg
en,ALRF-0011,Coffee Capsule Classic,Supermarket///Retail///Beverages,Al Rifai,"Enjoy the distinct taste of al rifai classic coffee capsule, which features a carefully crafted blend of perfectly roasted arabica and robusta coffee beans for a rich and delicious espresso shot perfect for coffee lovers.",Coffee Capsule Classic,26.0,26.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/967be7e40b88b98f9cdf23ae1ef7a347.jpg
en,ALRF-0012,Coffee Capsule Brazil,Supermarket///Retail///Beverages,Al Rifai,"Savor the rich, robust taste of al rifai brazilian coffee capsule, which features single-origin ground coffee beans sourced from brazil's lush coffee regions and expertly roasted and ground for a bold, satisfying espresso shot perfect to start your day.",Coffee Capsule Brazil,26.0,26.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/6747f17b836525bd9c6720ba191d6912.jpg
en,ALRF-0013,Coffee Capsule Colombia,Supermarket///Retail///Beverages,Al Rifai,"Enjoy the bold and balanced taste of al rifai's colombia coffee capsule, which features premium colombian coffee beans that are expertly roasted and ground for a distinctive espresso shot that is perfect for sipping and tasting.",Coffee Capsule Colombia,26.0,26.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/b66dcc8a71b4baa25f8b35c1a9a5c56c.jpg
en,ALRF-0014,Speciality Coffee   Brew Bag,Supermarket///Retail///Beverages,Al Rifai,,Speciality Coffee   Brew Bag,16.0,16.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/9a80b322bc93cf56dcb6e00ab1a61ca3.jpg
en,ALRF-0015,Guji Uraga Coffee,Supermarket///Retail///Beverages,Al Rifai,,Guji Uraga Coffee,55.0,55.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/2d47659976b3c550dff51f5709a60309.jpg
en,ALRF-0016,Guji Hamabella Coffee,Supermarket///Retail///Beverages,Al Rifai,,Guji Hamabella Coffee,65.0,65.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/6214055c733f33945338dae5aaabaf42.jpg
en,ALRF-0017,Freeze Dried Gold Ethiopia/Brazil 100g,Supermarket///Retail///Beverages,Al Rifai,,Freeze Dried Gold Ethiopia/Brazil 100g,36.0,36.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/cd8eb1e5fd4476862e90ac8261af9947.jpg
en,ALRF-0018,Freeze Dried Gold 100% Arabica 100g,Supermarket///Retail///Beverages,Al Rifai,,Freeze Dried Gold 100% Arabica 100g,36.0,36.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/6240dc80b2eacc17f3522cc301d047ae.jpg
en,ALRF-0019,Freeze Dried Gold Decaf 100g,Supermarket///Retail///Beverages,Al Rifai,,Freeze Dried Gold Decaf 100g,36.0,36.0,pcs,100,10,0,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-RIFA/38a2c480724c99a8acb724e34b874855.jpg
