CategoryCode;CategoryPath;Language;CategoryId;DateAdded;Status;Position;DetailedImageURL;Description;ProductDetailsView;UsergroupIds;PageTitle;MetaDescription;MetaKeywords;CategoryUrl;SeoName;Store;Discussion
"406";"Fresh & Local";"en";"406";"21 Jan 2025 00:00:00";"A";"110";"";"";"default";"0";"";"";"";"https://is2or.com/fresh-and-local/";"fresh-and-local";"";"D"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"269";"Jewelries";"en";"285";"";"A";"30";"";"";"";"0";"";"";"";"https://is2or.com/jewelries/";"jewelries";"";""
"";"Fresh & Local";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"272";"Games";"en";"284";"";"A";"70";"";"";"";"0";"";"";"";"https://is2or.com/games/";"games";"";""
"";"المجوهرات";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"270";"Hobby & Sports";"en";"283";"";"A";"40";"";"";"";"0";"";"";"";"https://is2or.com/hobby-and-sports/";"hobby-and-sports";"";""
"";"الألعاب";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"264";"رسوم السوق";"ar";"264";"";"H";"90";"";"";"default";"0";"";"";"";"https://is2or.com/marketplace-fees/";"category-264";"";""
"271";"House & Gardening";"en";"281";"";"A";"60";"";"";"";"0";"";"";"";"https://is2or.com/house-and-gardening/";"house-and-gardening";"";""
"";"الصحة والجمال";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"264";"Marketplace fees";"en";"264";"";"H";"90";"";"";"default";"0";"";"";"";"https://is2or.com/marketplace-fees/";"marketplace-fees";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"271";"المنزل والحدائق";"ar";"281";"";"A";"60";"";"";"";"0";"";"";"";"https://is2or.com/house-and-gardening/";"category-281";"";""
"166";"Electronics";"en";"277";"";"A";"10";"";"";"";"0";"";"";"";"https://is2or.com/electronics/";"electronics";"";""
"";"الإلكترونيات";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"274";"Supermarket";"en";"278";"20 Jan 2025 00:00:00";"A";"90";"";"";"default";"0";"";"";"";"https://is2or.com/supermarket/";"supermarket";"";"D"
"";"السوبر ماركت";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"273";"Auto & Moto";"en";"279";"";"A";"80";"";"";"";"0";"";"";"";"https://is2or.com/auto-and-moto/";"auto-and-moto";"";""
"";"السيارات والدراجات النارية";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"268";"Uncategorized";"en";"280";"";"A";"0";"";"";"";"0";"";"";"";"https://is2or.com/uncategorized-en/";"uncategorized-en";"";""
"";"غير مصنف";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"288";"Fashion///Women";"en";"297";"";"A";"0";"";"";"";"0";"";"";"";"https://is2or.com/fashion/women/";"women";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"284";"Electronics/// Mobile Phones";"en";"293";"15 Jan 2025 00:00:00";"A";"0";"";"";"default";"0";"";"";"";"https://is2or.com/electronics/mobile-phones/";"mobile-phones";"";"D"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"377";"Supermarket///Children And Baby Products";"en";"301";"";"A";"0";"";"";"";"0";"";"";"";"https://is2or.com/supermarket/supermarket-en-11/";"supermarket-en-11";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"410";"Fresh & Local///Diet meals";"en";"410";"21 Jan 2025 00:00:00";"A";"40";"https://is2or.com/images/detailed/8/diet.jpg#{[ar]:;[en]:;}";"";"default";"0";"";"";"";"https://is2or.com/fresh-and-local/diet-meals/";"diet-meals";"";"D"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"367";"Supermarket///Cheese & Cold Cuts";"en";"309";"";"A";"0";"";"";"";"0";"";"";"";"https://is2or.com/supermarket/supermarket-en-2/";"supermarket-en-2";"";""
"";"الإلكترونيات///الصوت";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"377";"Supermarket///Children And Baby Products";"en";"301";"";"A";"0";"";"";"";"0";"";"";"";"https://is2or.com/supermarket/supermarket-en-11/";"supermarket-en-11";"";""
"";"السوبر ماركت///المشروبات";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"397";"House & Gardening///Tools";"en";"397";"15 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/house-and-gardening/tools/";"tools";"";"D"
"";"السوبر ماركت///الملابس";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
