CategoryCode;CategoryPath;Language
"417";"Supermarket";"en"
"418";"Automotive";"en"
"264";"Marketplace fees";"en"
"412";"Fashion & Jewelry";"en"
"416";"Fresh & Local";"en"
"415";"Home & Gardening";"en"
"";"Retail";"en"
"413";"Sports & Hobbies";"en"
"414";"Heath & Beauty";"en"
"268";"Uncategorized";"en"
"411";"Electronics & Digital Products";"en"
"533";"Automotive///Car Parts";"en"
"485";"Home & Gardening///Gardenin";"en"
"475";"Heath & Beauty///Beauty";"en"
"484";"Home & Gardening///Home";"en"
"441";"Fashion & Jewelry///Kids";"en"
"442";"Fashion & Jewelry///Jewllery";"en"
"505";"Fresh & Local///Fruits from farms";"en"
"504";"Fresh & Local///Homemade Meals";"en"
"421";"Electronics & Digital Products///Gaming";"en"
"440";"Fashion & Jewelry///Woman";"en"
"419";"Electronics & Digital Products///Digital Products";"en"
"506";"Fresh & Local///Nuts & Spices";"en"
"474";"Heath & Beauty///Health";"en"
"458";"Sports & Hobbies///Sports";"en"
"420";"Electronics & Digital Products///Electronics";"en"
"515";"Supermarket///Retail";"en"
"439";"Fashion & Jewelry///Man";"en"
"514";"Supermarket///Wholesale & Bulk";"en"
"459";"Sports & Hobbies///Toys";"en"
"506";"Fresh & Local///Nuts & Spices";"en"
"462";"Sports & Hobbies///Sports///Sports";"en"
"435";"Electronics & Digital Products///Gaming///Playstation";"en"
"436";"Electronics & Digital Products///Gaming///Nintendo";"en"
"437";"Electronics & Digital Products///Gaming///PC gaming";"en"
"438";"Electronics & Digital Products///Gaming///Accessories";"en"
"443";"Fashion & Jewelry///Man///Clothes";"en"
"444";"Fashion & Jewelry///Man///Shoes";"en"
"445";"Fashion & Jewelry///Man///Accessories";"en"
"446";"Fashion & Jewelry///Woman///Clothes";"en"
"447";"Fashion & Jewelry///Woman///Hand Bag";"en"
"448";"Fashion & Jewelry///Woman///Shoes";"en"
"449";"Fashion & Jewelry///Woman///Wedding";"en"
"450";"Fashion & Jewelry///Woman///Traditional Costume";"en"
"451";"Fashion & Jewelry///Woman///Accessories";"en"
"452";"Fashion & Jewelry///Kids///Clothes";"en"
"453";"Fashion & Jewelry///Kids///Shoes";"en"
"454";"Fashion & Jewelry///Jewllery///Diamond";"en"
"455";"Fashion & Jewelry///Jewllery///Gold";"en"
"541";"Automotive///Auto Accessories///Care Products";"en"
"532";"Supermarket///Retail///Seasonal Products";"en"
"535";"Automotive///Car Parts///Engine Parts";"en"
"536";"Automotive///Car Parts///Brake Systems";"en"
"537";"Automotive///Car Parts///Transmission Parts";"en"
"538";"Automotive///Car Parts///Electrical Parts";"en"
"539";"Automotive///Car Parts///Filters & Fluids";"en"
"540";"Automotive///Car Parts///Body Parts";"en"
