CategoryCode;CategoryPath;Language;CategoryId
"264";"Marketplace fees";"en";"264"
"411";"Electronics & Digital";"en";"411"
"412";"Fashion & Jewelry";"en";"412"
"413";"Sports & Hobbies";"en";"413"
"414";"Health & Beauty";"en";"414"
"415";"Home & Living";"en";"415"
"416";"Fresh & Local";"en";"416"
"417";"Supermarket";"en";"417"
"418";"Automotive & Travel";"en";"418"
"552";"Office Supplies";"en";"552"
"553";"Building Materials & Tools";"en";"553"
"554";"Packaging & Shipping";"en";"554"
"555";"Safety Gear & PPE";"en";"555"
"556";"Electrical & Lighting";"en";"556"
"1";"Marketplace fees";"en";"651"
"2";"Electronics & Technology";"en";"652"
"3";"Home & Furniture";"en";"653"
"4";"Vehicles & Transportation";"en";"654"
"5";"Fashion & Accessories";"en";"655"
"6";"Sports & Fitness";"en";"656"
"7";"Musical Instruments";"en";"657"
"8";"Kids & Baby";"en";"658"
"9";"Books & Media";"en";"659"
"10";"Tools & Industrial";"en";"660"
"11";"Collectibles & Art";"en";"661"
"12";"Products without category";"en";"662"
"94";"AB: Phones";"en";"663"
"95";"AB: Laptops";"en";"664"
"774";"Restaurant & Hotel Supplies";"en";"774"
"775";"Industrial & Workshop Supplies";"en";"775"
"776";"Auto & Workshop Needs";"en";"776"
"777";"Cleaning & Maintenance";"en";"777"
"778";"IT & Electronics";"en";"778"
"779";"Retail & Shop Supplies";"en";"779"
"780";"Clinic & Medical Supplies";"en";"780"
"817";"Paintings";"en";"817"
"818";"Calligraphy";"en";"818"
"819";"Prints";"en";"819"
"820";"Photography";"en";"820"
"821";"Sculpture";"en";"821"
"822";"Drawings";"en";"822"
"823";"Handicraft";"en";"823"
"892";"Plants & Flowers";"en";"892"
"908";"Test";"en";"908"
"";"Products without category";"en";"909"
"";"Image enhancer";"en";"957"
"";"Image enhancer";"en";"1093"
"419";"Electronics & Digital///Digital Products";"en";"419"
"420";"Electronics & Digital///Electronics and Appliances";"en";"420"
"421";"Electronics & Digital///Gaming";"en";"421"
"439";"Fashion & Jewelry///Men";"en";"439"
"440";"Fashion & Jewelry///Women";"en";"440"
"441";"Fashion & Jewelry///Kids";"en";"441"
"442";"Fashion & Jewelry///Jewelry";"en";"442"
"458";"Sports & Hobbies///Sports";"en";"458"
"459";"Sports & Hobbies///Toys";"en";"459"
"463";"Sports & Hobbies///Pets";"en";"463"
"474";"Health & Beauty///Health";"en";"474"
"475";"Health & Beauty///Beauty";"en";"475"
"504";"Fresh & Local///Homemade Meals";"en";"504"
"505";"Fresh & Local///Fruits from farms";"en";"505"
"506";"Fresh & Local///Nuts & Spices";"en";"506"
