CategoryCode;CategoryPath;Language;Status;Store
"552";"Office Supplies";"en";"A";"B2B"
"553";"Building Materials & Tools";"en";"A";"B2B"
"554";"Packaging & Shipping";"en";"A";"B2B"
"555";"Safety Gear & PPE";"en";"A";"B2B"
"556";"Electrical & Lighting";"en";"A";"B2B"
"774";"Restaurant & Hotel Supplies";"en";"A";"B2B"
"775";"Industrial & Workshop Supplies";"en";"A";"B2B"
"776";"Auto & Workshop Needs";"en";"A";"B2B"
"777";"Cleaning & Maintenance";"en";"A";"B2B"
"778";"IT & Electronics";"en";"A";"B2B"
"779";"Retail & Shop Supplies";"en";"A";"B2B"
"780";"Clinic & Medical Supplies";"en";"A";"B2B"
"745";"Office Supplies///Paper & Stationery";"en";"A";"B2B"
"746";"Office Supplies///Printers & Accessories";"en";"A";"B2B"
"747";"Office Supplies///Office Furniture";"en";"A";"B2B"
"748";"Office Supplies///Ink & Toner";"en";"A";"B2B"
"749";"Office Supplies///Pantry & Breakroom Items";"en";"A";"B2B"
"750";"Office Supplies///Cleaning Products";"en";"A";"B2B"
"751";"Building Materials & Tools///Cement";"en";"A";"B2B"
"752";"Building Materials & Tools///Bricks & Blocks";"en";"A";"B2B"
"753";"Building Materials & Tools///Steel & Metal";"en";"A";"B2B"
"754";"Building Materials & Tools///Paint & Adhesives";"en";"A";"B2B"
"755";"Building Materials & Tools///Plumbing Supplies";"en";"A";"B2B"
"756";"Building Materials & Tools///Doors & Windows";"en";"A";"B2B"
"757";"Building Materials & Tools///Tools & Hardware";"en";"A";"B2B"
"758";"Electrical & Lighting///Wires & Cables";"en";"A";"B2B"
"759";"Electrical & Lighting///Switches & Plugs";"en";"A";"B2B"
"760";"Electrical & Lighting///Indoor & Outdoor Lights";"en";"A";"B2B"
"761";"Electrical & Lighting///Batteries & Chargers";"en";"A";"B2B"
"762";"Electrical & Lighting///Fans & Ventilation";"en";"A";"B2B"
"763";"Packaging & Shipping///Boxes & Cartons";"en";"A";"B2B"
"764";"Packaging & Shipping///Tape & Wraps";"en";"A";"B2B"
"765";"Packaging & Shipping///Bubble Wrap & Fillers";"en";"A";"B2B"
"766";"Packaging & Shipping///Labels & Stickers";"en";"A";"B2B"
"767";"Packaging & Shipping///Pallets & Containers";"en";"A";"B2B"
"768";"Safety Gear & PPE///Helmets & Headgear";"en";"A";"B2B"
"769";"Safety Gear & PPE///Gloves";"en";"A";"B2B"
"770";"Safety Gear & PPE///Safety Glasses";"en";"A";"B2B"
"771";"Safety Gear & PPE///Work Boots";"en";"A";"B2B"
"772";"Safety Gear & PPE///Masks & Respirators";"en";"A";"B2B"
"773";"Safety Gear & PPE///Fire Safety & First Aid";"en";"A";"B2B"
"781";"Restaurant & Hotel Supplies///Disposable Items";"en";"A";"B2B"
"782";"Restaurant & Hotel Supplies///Kitchen Equipment";"en";"A";"B2B"
"783";"Restaurant & Hotel Supplies///Cookware & Tools";"en";"A";"B2B"
"784";"Restaurant & Hotel Supplies///Food Storage";"en";"A";"B2B"
"785";"Restaurant & Hotel Supplies///Tableware & Serving";"en";"A";"B2B"
"786";"Restaurant & Hotel Supplies///Cleaning & Hygiene";"en";"A";"B2B"
"787";"Industrial & Workshop Supplies///Lubricants & Fluids";"en";"A";"B2B"
"788";"Industrial & Workshop Supplies///Welding & Repair Tools";"en";"A";"B2B"
"789";"Industrial & Workshop Supplies///Compressors & Pumps";"en";"A";"B2B"
"790";"Industrial & Workshop Supplies///Ladders & Platforms";"en";"A";"B2B"
"791";"Industrial & Workshop Supplies///Tool Kits & Storage";"en";"A";"B2B"
"792";"Auto & Workshop Needs///Car Batteries & Tires";"en";"A";"B2B"
"793";"Auto & Workshop Needs///Engine Oils & Fluids";"en";"A";"B2B"
"794";"Auto & Workshop Needs///Car Cleaning Products";"en";"A";"B2B"
"795";"Auto & Workshop Needs///Spare Parts";"en";"A";"B2B"
"796";"Auto & Workshop Needs///Tools & Lifts";"en";"A";"B2B"
"797";"Cleaning & Maintenance///Floor & Surface Cleaners";"en";"A";"B2B"
"798";"Cleaning & Maintenance///Mops";"en";"A";"B2B"
"799";"Cleaning & Maintenance///Brooms & Buckets";"en";"A";"B2B"
"800";"Cleaning & Maintenance///Trash Bins & Bags";"en";"A";"B2B"
"801";"Cleaning & Maintenance///Air Fresheners";"en";"A";"B2B"
"802";"Cleaning & Maintenance///Bathroom Supplies";"en";"A";"B2B"
