CategoryCode;CategoryPath;Language;Store
"264";"Marketplace fees";"en";""
"411";"Electronics & Digital";"en";"Is2or"
"412";"Fashion & Jewelry";"en";"Is2or"
"413";"Sports & Hobbies";"en";"Is2or"
"414";"Health & Beauty";"en";"Is2or"
"415";"Home & Living";"en";"Is2or"
"416";"Fresh & Local";"en";"Is2or"
"417";"Supermarket";"en";"Is2or"
"418";"Automotive & Travel";"en";"Is2or"
"552";"Office Supplies";"en";"B2B"
"553";"Building Materials & Tools";"en";"B2B"
"554";"Packaging & Shipping";"en";"B2B"
"555";"Safety Gear & PPE";"en";"B2B"
"556";"Electrical & Lighting";"en";"B2B"
"1";"Marketplace fees";"en";"Store"
"2";"Electronics & Technology";"en";"Store"
"3";"Home & Furniture";"en";"Store"
"4";"Vehicles & Transportation";"en";"Store"
"5";"Fashion & Accessories";"en";"Store"
"6";"Sports & Fitness";"en";"Store"
"7";"Musical Instruments";"en";"Store"
"8";"Kids & Baby";"en";"Store"
"9";"Books & Media";"en";"Store"
"10";"Tools & Industrial";"en";"Store"
"11";"Collectibles & Art";"en";"Store"
"12";"Products without category";"en";"Store"
"94";"AB: Phones";"en";"Store"
"95";"AB: Laptops";"en";"Store"
"774";"Restaurant & Hotel Supplies";"en";"B2B"
"775";"Industrial & Workshop Supplies";"en";"B2B"
"776";"Auto & Workshop Needs";"en";"B2B"
"777";"Cleaning & Maintenance";"en";"B2B"
"778";"IT & Electronics";"en";"B2B"
"779";"Retail & Shop Supplies";"en";"B2B"
"780";"Clinic & Medical Supplies";"en";"B2B"
"817";"Paintings";"en";"Art"
"818";"Calligraphy";"en";"Art"
"819";"Prints";"en";"Art"
"820";"Photography";"en";"Art"
"821";"Sculpture";"en";"Art"
"822";"Drawings";"en";"Art"
"823";"Handicraft";"en";"Art"
"892";"Plants & Flowers";"en";"Is2or"
"908";"Test";"en";"Is2or"
"";"Products without category";"en";""
"";"Image enhancer";"en";""
"";"Image enhancer";"en";""
"419";"Electronics & Digital///E-Books, Software, Digital Products";"en";"Is2or"
"420";"Electronics & Digital///Home Electronics & Appliances";"en";"Is2or"
"421";"Electronics & Digital///Video Game, Gaming Console & Accessories";"en";"Is2or"
"439";"Fashion & Jewelry///Men";"en";"Is2or"
"440";"Fashion & Jewelry///Women";"en";"Is2or"
"441";"Fashion & Jewelry///Kids";"en";"Is2or"
"442";"Fashion & Jewelry///Jewelry";"en";"Is2or"
"458";"Sports & Hobbies///Sports";"en";"Is2or"
"459";"Sports & Hobbies///Toys";"en";"Is2or"
"463";"Sports & Hobbies///Pets";"en";"Is2or"
"474";"Health & Beauty///Health";"en";"Is2or"
"475";"Health & Beauty///Beauty";"en";"Is2or"
"504";"Fresh & Local///Homemade Meals";"en";"Is2or"
"505";"Fresh & Local///Fruits From Farms";"en";"Is2or"
"506";"Fresh & Local///Nuts & Spices";"en";"Is2or"
"514";"Supermarket///Bulk Purchase";"en";"Is2or"
"515";"Supermarket///Retail";"en";"Is2or"
"533";"Automotive & Travel///Vehicle Parts";"en";"Is2or"
"534";"Automotive & Travel///Auto Accessories";"en";"Is2or"
"13";"Electronics & Technology///Smartphones & Tablets";"en";"Store"
"14";"Electronics & Technology///Laptops & Computers";"en";"Store"
"15";"Electronics & Technology///Gaming Consoles & Video Games";"en";"Store"
"16";"Electronics & Technology///Cameras & Photography Equipment";"en";"Store"
"17";"Electronics & Technology///Audio Equipment (Headphones, Speakers)";"en";"Store"
"18";"Electronics & Technology///TVs & Home Entertainment";"en";"Store"
"19";"Electronics & Technology///Smartwatches & Wearables";"en";"Store"
"20";"Electronics & Technology///Computer Parts & Accessories";"en";"Store"
"21";"Home & Furniture///Living Room Furniture";"en";"Store"
"22";"Home & Furniture///Bedroom Sets";"en";"Store"
"23";"Home & Furniture///Dining Sets";"en";"Store"
"24";"Home & Furniture///Office Furniture";"en";"Store"
"25";"Home & Furniture///Outdoor Furniture";"en";"Store"
"26";"Home & Furniture///Home Appliances";"en";"Store"
"27";"Home & Furniture///Kitchen Equipment";"en";"Store"
"28";"Home & Furniture///Light Fixtures";"en";"Store"
"29";"Home & Furniture///Rugs & Carpets";"en";"Store"
"31";"Books & Media///Books";"en";"Store"
"32";"Books & Media///Textbooks";"en";"Store"
"33";"Books & Media///Vinyl Records";"en";"Store"
"34";"Books & Media///CDs & DVDs";"en";"Store"
"35";"Books & Media///Comic Books";"en";"Store"
"36";"Books & Media///Magazines";"en";"Store"
"37";"Books & Media///Collectible Publications";"en";"Store"
"38";"Books & Media///Educational Materials";"en";"Store"
