CategoryCode;CategoryPath;Language;Store;PageTitle;CategoryId;DateAdded;Status;Position;DetailedImageURL;Description;ProductDetailsView;UsergroupIds;MetaDescription;MetaKeywords;CategoryUrl;SeoName;Discussion;Vendor categories fee - Exclusive;Vendor categories fee - Default plan;Vendor categories fee - Bronze;Vendor categories fee - Free;Vendor categories fee - Silver;Vendor categories fee - Professional;Vendor categories fee - Gold;Vendor categories fee - Enterprise;Vendor categories fee - Platinum;Vendor categories fee - Corporate;Vendor categories fee - Custom;IsVirtual;VirtualConditions
"264";"Marketplace fees";"en";"";"";"264";"";"H";"90";"";"";"default";"0";"";"";"https://is2or.com/marketplace-fees/";"marketplace-fees";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Marketplace fees";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"411";"Electronics & Digital Products";"en";"Is2or";"";"411";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"https://is2or.com/electronics/";"electronics";"D";"6.10";"";"6.10";"";"6.10";"";"6.10";"";"6.10";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الإلكترونيات والمنتجات الرقمية";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"412";"Fashion & Jewelry";"en";"Is2or";"";"412";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"https://is2or.com/fashion-and-jewelry/";"fashion-and-jewelry";"D";"14.90";"";"14.90";"";"14.90";"";"14.90";"";"14.90";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الأزياء والمجوهرات";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"413";"Sports & Hobbies";"en";"Is2or";"";"413";"21 Jan 2025 00:00:00";"A";"30";"";"";"default";"0";"";"";"https://is2or.com/sports-and-hobbies/";"sports-and-hobbies";"D";"11.50";"";"11.50";"";"11.50";"";"11.50";"";"11.50";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الأزياء الرياضية";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"414";"Health & Beauty";"en";"Is2or";"";"414";"21 Jan 2025 00:00:00";"A";"40";"";"";"default";"0";"";"";"https://is2or.com/heath-and-beauty/";"heath-and-beauty";"D";"8.20";"";"8.20";"";"8.20";"";"8.20";"";"8.20";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الصحة والجمال";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"415";"Home & Gardening";"en";"Is2or";"";"415";"21 Jan 2025 00:00:00";"A";"50";"";"";"default";"0";"";"";"https://is2or.com/home-and-gradening/";"home-and-gradening";"D";"10.00";"";"10.00";"";"10.00";"";"10.00";"";"10.00";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"المنزل والحدائق";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"416";"Fresh & Local";"en";"Is2or";"";"416";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"https://is2or.com/fresh-and-local/";"fresh-and-local";"D";"10.50";"";"10.50";"";"10.50";"";"10.50";"";"10.50";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"منتجات طازجة ومحلية";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"417";"Supermarket";"en";"Is2or";"";"417";"21 Jan 2025 00:00:00";"A";"60";"";"";"default";"0";"";"";"https://is2or.com/supermarket/";"supermarket";"D";"9.00";"";"9.00";"";"9.00";"";"9.00";"";"9.00";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"سوبر ماركت";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
