CategoryCode;CategoryPath;Language;Store;Vendor categories fee - Is2or - with the commission;Vendor categories fee - Is2or - Free;Status
"264";"Marketplace fees";"en";"";"";"";"H"
"411";"Electronics & Digital";"en";"Is2or";"";"6.10";"A"
"412";"Fashion & Jewelry";"en";"Is2or";"";"14.90";"A"
"413";"Sports & Hobbies";"en";"Is2or";"";"11.50";"A"
"414";"Health & Beauty";"en";"Is2or";"";"8.20";"A"
"415";"Home & Gardening";"en";"Is2or";"";"10.00";"A"
"416";"Fresh & Local";"en";"Is2or";"";"10.50";"A"
"417";"Supermarket";"en";"Is2or";"";"9.00";"A"
"418";"Automotive";"en";"Is2or";"";"11.50";"A"
"552";"Office Supplies";"en";"B2B";"";"";"A"
"553";"Building Materials & Tools";"en";"B2B";"";"";"A"
"554";"Packaging & Shipping";"en";"B2B";"";"";"A"
"555";"Safety Gear & PPE";"en";"B2B";"";"";"A"
"556";"Electrical & Lighting";"en";"B2B";"";"";"A"
"1";"Marketplace fees";"en";"Store";"";"";"H"
"2";"Electronics & Technology";"en";"Store";"";"";"A"
"3";"Home & Furniture";"en";"Store";"";"";"A"
"4";"Vehicles & Transportation";"en";"Store";"";"";"A"
"5";"Fashion & Accessories";"en";"Store";"";"";"A"
"6";"Sports & Fitness";"en";"Store";"";"";"A"
"7";"Musical Instruments";"en";"Store";"";"";"A"
"8";"Kids & Baby";"en";"Store";"";"";"A"
"9";"Books & Media";"en";"Store";"";"";"A"
"10";"Tools & Industrial";"en";"Store";"";"";"A"
"11";"Collectibles & Art";"en";"Store";"";"";"A"
"12";"Products without category";"en";"Store";"";"";"H"
"94";"AB: Phones";"en";"Store";"";"";"H"
"95";"AB: Laptops";"en";"Store";"";"";"H"
"774";"Restaurant & Hotel Supplies";"en";"B2B";"";"";"A"
"775";"Industrial & Workshop Supplies";"en";"B2B";"";"";"A"
"776";"Auto & Workshop Needs";"en";"B2B";"";"";"A"
"777";"Cleaning & Maintenance";"en";"B2B";"";"";"A"
"778";"IT & Electronics";"en";"B2B";"";"";"A"
"779";"Retail & Shop Supplies";"en";"B2B";"";"";"A"
"780";"Clinic & Medical Supplies";"en";"B2B";"";"";"A"
"817";"Paintings";"en";"Art";"";"";"A"
"818";"Calligraphy";"en";"Art";"";"";"A"
"819";"Prints";"en";"Art";"";"";"A"
"820";"Photography";"en";"Art";"";"";"A"
"821";"Sculpture";"en";"Art";"";"";"A"
"822";"Drawings";"en";"Art";"";"";"A"
"823";"Handicraft";"en";"Art";"";"";"A"
"892";"Plants & Flowers";"en";"Is2or";"";"";"A"
"908";"Test";"en";"Is2or";"";"";"H"
"419";"Electronics & Digital///Digital Products";"en";"Is2or";"";"6.10";"A"
"420";"Electronics & Digital///Electronics";"en";"Is2or";"";"12.50";"A"
