Feature name;Feature ID;Language;Type;Purpose;Feature style;Filter style;Group;Show in product list;Show in product header;Position;Status;Variants
"Storage Capacity";"17";"en";"S";"find_products";"text";"checkbox";"Electronics";"Y";"N";"30";"A";"16GB, 1TB, 256GB, 256MB, 2GB, 320GB, 32GB, 4GB, 500GB, 512MB, 640GB, 750GB, 8GB"
"Display";"16";"en";"S";"find_products";"text";"checkbox";"Electronics";"Y";"N";"20";"A";"13.3"", 14.0"", 15.6"", 2.4"", 23"", 27"", 3.1"", 3.2"", 3.5"", 3.7"", 4.0"", 4.3"", 4.5"", 4.7"", 7.0"", 8.9"", 9.7""" 
"Operating System";"15";"en";"S";"find_products";"text";"checkbox";"Electronics";"Y";"N";"10";"A";"Android 2.1, 'Android 2.2, Froyo', 'Android 2.3, Gingerbread', 'Android 3.1, Honeycomb', 'Android 3.2, Honeycomb', 'Android 4.0, Ice Cream Sandwich', Nokia OS, Symbian OS, Windows 7 Home Basic, Windows 7 Home Premium, 'Windows Phone 7.5, Mango', iOS 5"
"Electronics";"14";"en";"G";"";"";"";"";"Y";"N";"0";"A";""
"Brand";"18";"en";"E";"organize_catalog";"brand";"checkbox";"";"Y";"Y";"0";"A";"Abbey Road Studios, Acer, Adidas, Apple, Arc System Works, Asus, Camelback, Capcom, Casio, Cleveland, Cobra, Concord Records, Creative, D-Link, Electronic Arts (EA), Entertainment One Limited, Garmin, Glem Builtin, Glem Gas, GoPro, GREE, Hewlett-Packard, Hisense, Hitachi, HTC, Intel, Kenwood, Koss, LG, Mabe, Microsoft, OGeneral, Philips, Z Trust"
"Main features";"20";"en";"G";"";"";"";"";"Y";"N";"10";"A";""
"Type";"21";"en";"S";"find_products";"text";"checkbox";"";"Y";"N";"0";"A";"stationary"
"HD support";"22";"en";"C";"find_products";"checkbox";"checkbox";"";"Y";"N";"0";"A";""
"Hard drive";"23";"en";"S";"find_products";"text";"checkbox";"";"Y";"Y";"0";"A";"250 GB, 32 GB, 500 GB"
"Specifications";"24";"en";"G";"";"";"";"";"Y";"N";"20";"A";""
"RAM";"25";"en";"S";"find_products";"text";"checkbox";"Specifications";"Y";"N";"0";"A";"'2000 MB, DDR3', '512 MB, 700 MHz, GDDR3', '8192 MB, DDR3', '8192 MB, GDDR5'"
"Graphics processor";"26";"en";"S";"find_products";"text";"checkbox";"Specifications";"Y";"N";"0";"A";"AMD Radeon HD 5650, ATI C1/Xenos, integrated AMD Radeon GPU"
"System performance for floating point computation";"27";"en";"S";"find_products";"text";"checkbox";"Specifications";"Y";"N";"0";"A";"1 TFLOP, 1.23 TFLOPs, 1.84 TFLOPs"
"CPU speed";"28";"en";"S";"find_products";"text";"checkbox";"Specifications";"Y";"N";"0";"A";"1.24 GHz, 1.75 GHz, 3.20 GHz"
"CPU";"29";"en";"S";"find_products";"text";"checkbox";"Specifications";"Y";"N";"0";"A";"8-core AMD, IBM PowerPC 750, Power PC (3-core)"
"Interfaces";"30";"en";"G";"";"";"";"";"Y";"N";"40";"A";""
"Ports";"31";"en";"M";"find_products";"multiple_checkbox";"checkbox";"Interfaces";"Y";"N";"0";"A";"AV-output, HDMI, optical audio output, USB x2, USB x4, USB x5"
"Communications";"32";"en";"M";"find_products";"multiple_checkbox";"checkbox";"Interfaces";"Y";"N";"0";"A";"Bluetooth, Ethernet, Wi-Fi (802.11b/g/n)"
"Multimedia";"33";"en";"G";"";"";"";"";"Y";"N";"30";"A";""
"Video playback";"34";"en";"C";"find_products";"checkbox";"checkbox";"Multimedia";"Y";"N";"0";"A";""
"Supported storage devices";"35";"en";"M";"find_products";"multiple_checkbox";"checkbox";"Multimedia";"Y";"N";"0";"A";"Blu-ray, CD, CD R, CR RW, DVD, DVD R, DVD RW"
"Supported formats";"36";"en";"M";"find_products";"multiple_checkbox";"checkbox";"Multimedia";"Y";"N";"0";"A";"JPEG, MP3, WMA"
"Dimensions";"37";"en";"G";"";"";"";"";"Y";"N";"100";"A";""
"Dimensions (W x H x D)";"38";"en";"T";"describe_product";"";"";"Dimensions";"Y";"N";"0";"A";""
"Weight";"39";"en";"T";"describe_product";"";"";"Dimensions";"Y";"N";"0";"A";""
"Additional info";"40";"en";"G";"";"";"";"";"Y";"N";"50";"A";""
"Controller included";"41";"en";"T";"describe_product";"text";"";"";"Y";"N";"0";"A";""
"Accessories included";"42";"en";"M";"find_products";"multiple_checkbox";"checkbox";"Multimedia";"Y";"N";"0";"A";"composite AV cable, HDMI cable, Headset, USB cable"
"Videogames storage";"43";"en";"S";"find_products";"text";"checkbox";"";"Y";"N";"0";"A";"BD (Blu-ray Disc), DVD, Wii U Optical Disc"
"Compatibility with console videogames";"44";"en";"M";"find_products";"multiple_checkbox";"checkbox";"Multimedia";"Y";"N";"0";"A";"Nintendo WiiNintendo Wii U, PlayStation 4, Xbox, Xbox One, Xbox360"
"Colors";"45";"en";"S";"find_products";"text";"checkbox";"Additional info";"Y";"N";"0";"D";"Black"
"Features";"46";"en";"T";"describe_product";"";"";"Additional info";"Y";"N";"0";"A";""
"3D support";"47";"en";"C";"find_products";"checkbox";"checkbox";"";"Y";"N";"0";"A";""
"Color - Separate Product";"549";"en";"S";"group_catalog_item";"dropdown_images";"checkbox";"";"Y";"N";"10";"A";"Beige, Brown, Cream, Emerald, Grey, Khaki, Lilac, Maroon, Mustard, Navy, Pink, Red, Taupe, Yellow, Green, Blue, Black, White"
"Size";"548";"en";"S";"group_variation_catalog_item";"dropdown_labels";"checkbox";"";"Y";"N";"20";"A";"Small, Large, Medium, X Large, XX Large"
"Color - Single Product";"554";"en";"S";"group_variation_catalog_item";"dropdown_images";"color";"";"Y";"N";"0";"A";"Beige, Black, Blue, Chocolate, Coral, Dark Grey, Emerald, Fuchsia, Gold, Green, Grey, Indigo, Ivory, Khaki, Lavender, Lilac, Lime, Linen, Magenta, Maroon, Navy, Olive, Orange, Orchid, Pink, Plum, PowderBlue, Purple, Red, Salmon, Silver, SkyBlue, Tan, Teal, Turquoise, Violet, White, Yellow"
"Shoes Size";"550";"en";"S";"group_variation_catalog_item";"dropdown_labels";"checkbox";"Fashion";"N";"N";"0";"A";"EU 15, EU 16, EU 17, EU 18, EU 19, EU 20, EU 21, EU 22, EU 23, EU 24, EU 25, EU 26, EU 27, EU 28, EU 29, EU 30, EU 31, EU 32, EU 33, EU 34, EU 35, EU 36, EU 37, EU 38, EU 39, EU 40, EU 41, EU 42, EU 43, EU 44, EU 45, EU 46, EU 47, UK 10, UK 10.5, UK 11, UK 11.5, UK 12.5, UK 13.5, UK 14.5, UK 2, UK 2.5, UK 3, UK 3.5, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 7.5, UK 8, UK 8.5, UK 9, UK 9.5, US 10, US 10.5, US 11.5, US 12, US 13, US 14, US 15, US 16, US 4, US 4.5, US 5, US 5.5, US 6, US 6.5, US 7, US 7.5, US 8, US 8.5, US 9, US 9.5"
"Material";"553";"en";"T";"describe_product";"text";"";"Additional info";"Y";"N";"0";"A";""
"Clothes Size";"551";"en";"S";"group_variation_catalog_item";"dropdown_labels";"checkbox";"Fashion";"N";"N";"0";"A";"All size, L, M, One size, S, XL, XS, XXL, XXS, XXXL, XXXXL"
"Fashion";"552";"en";"G";"";"";"";"";"N";"N";"0";"A";""
"Condition";"555";"en";"S";"group_variation_catalog_item";"dropdown";"checkbox";"";"N";"N";"0";"A";"Brand new, Like New, Used"
"Brand";"556";"en";"E";"organize_catalog";"brand";"checkbox";"";"N";"N";"0";"D";"Pepsi"
